Ma,Muc tieu %,So mau,Trung binh ngay,Trung vi (ngay),Percentile 75,Ti le dat muc tieu trong 20 phien
IVS,5,219,8.2,7,12,37.1
VTO,3,339,7.23,6,10,57.4
VTO,5,267,8.51,7,12,45.2
PET,3,411,6.05,4,10,69.5
PET,5,354,7.68,7,12,59.9
DGW,3,354,6.34,5,9,59.9
DGW,5,261,7.85,7,11,44.2
VIC,3,412,6.12,4,9,69.7
VIC,5,340,6.74,5,10,57.5
ASM,3,323,6.58,5,9,54.7
ASM,5,223,8.21,7,12,37.7
KSB,3,337,6.85,5,10,57.0
KSB,5,232,8.81,8,13,39.3
CRE,3,306,6.9,5,10,51.8
CRE,5,240,8.84,8,13,40.6
VCB,3,238,8.34,7,12,40.3
VCB,5,161,10.07,10,14,27.2
SBT,3,325,8.0,7,12,55.0
SBT,5,271,10.07,10,15,45.9
VND,3,355,5.77,5,8,60.1
VND,5,281,7.89,7,11,47.5
DBC,3,366,6.44,5,10,61.9
DBC,5,269,8.31,7,12,45.5
PVS,3,353,6.12,4,9,59.7
PVS,5,273,8.05,7,12,46.2
TPB,3,338,7.23,6,10,57.2
TPB,5,223,9.47,9,14,37.7
NLG,3,337,5.98,5,8,57.0
NLG,5,248,7.61,6,11,42.0
GMD,3,351,6.45,5,9,59.4
GMD,5,270,8.66,8,13,45.7
ANV,3,381,6.36,5,9,64.5
ANV,5,315,8.18,7,12,53.3
SZC,3,341,6.3,5,9,57.7
SZC,5,268,8.7,8,13,45.3
SHS,3,375,5.76,4,8,63.5
SHS,5,300,7.71,6,11,50.8
BSR,3,382,5.6,4,8,65.5
BSR,5,326,7.11,6,11,55.9
FCN,3,338,6.38,5,9,57.2
FCN,5,260,7.79,6,11,44.0
HAG,3,366,6.16,5,9,61.9
HAG,5,288,8.37,7,12,48.7
SKG,3,313,8.2,7,12,53.0
SKG,5,210,10.43,10,14,35.5
KDH,3,304,6.84,5,10,51.4
KDH,5,209,8.89,8,13,35.4
BMP,3,370,6.76,5,10,62.6
BMP,5,312,8.68,8,13,52.8
KDC,3,158,9.08,8,14,26.7
KDC,5,91,9.99,10,15,15.4
BFC,3,401,6.02,4,9,67.9
BFC,5,349,7.41,6,11,59.1
HDB,3,390,7.03,5,10,66.0
HDB,5,297,8.94,8,13,50.3
HBC,3,358,6.59,5,10,61.4
HBC,5,262,8.06,7,12,44.9
LPB,3,429,7.01,6,11,72.6
LPB,5,340,8.26,7,12,57.5
EIB,3,342,6.42,5,9,57.9
EIB,5,262,8.49,7,12,44.3
VCG,3,336,6.98,5,10,56.9
VCG,5,232,8.9,8,13,39.3
CII,3,354,6.19,5,9,59.9
CII,5,269,7.41,6,11,45.5
QNS,3,222,9.87,10,14,37.6
QNS,5,96,11.98,13,17,16.2
