Mã,Chiến lược,Điểm V15.3,Regime tốt nhất,T+5 sau phí %,T+5 exit sau phí %,Winrate sau phí %,Volatility20 %,ATR %,Exit reason,Expectancy OK,Winrate OK,ATR OK,Volatility OK,Drawdown Trade OK,Pass Risk Filter,Có dữ liệu giá
PDR,BOTTOM,50.0,UNKNOWN,-2.02,-2.37,36.2,9.64,3.54,TIME STOP,False,True,True,True,True,False,True
KSB,BOTTOM,50.0,UNKNOWN,-2.06,-2.41,28.7,4.86,1.67,TIME STOP,False,False,True,True,True,False,True
CTS,BOTTOM,50.0,UNKNOWN,-2.07,-2.42,35.0,7.78,3.43,TIME STOP,False,True,True,True,True,False,True
MBS,BOTTOM,50.0,UNKNOWN,-2.44,-2.79,31.2,7.28,3.8,TIME STOP,False,False,True,True,True,False,True
SHS,BOTTOM,50.0,UNKNOWN,-2.77,-3.12,31.2,8.99,3.53,TIME STOP,False,False,True,True,True,False,True
APG,BOTTOM,50.0,UNKNOWN,-2.89,-3.24,8.8,4.77,2.22,TIME STOP,False,False,True,True,True,False,True
VGC,BOTTOM,50.0,UNKNOWN,-3.09,-3.44,37.5,4.84,2.26,TIME STOP,False,True,True,True,True,False,True
ACB,BOTTOM,50.0,UNKNOWN,-0.09,-0.44,41.2,8.48,2.12,TIME STOP,False,True,True,True,True,False,True
MWG,BOTTOM,50.0,UNKNOWN,-0.34,-0.69,52.5,7.36,2.86,TIME STOP,False,True,True,True,True,False,True
VTO,BOTTOM,50.0,UNKNOWN,-0.56,-0.91,41.2,3.6,1.43,TIME STOP,False,True,True,True,True,False,True
PLX,BOTTOM,50.0,UNKNOWN,-0.58,-0.93,36.2,17.52,5.99,TIME STOP,False,True,True,False,True,False,True
SSB,BOTTOM,50.0,UNKNOWN,-0.77,-1.12,32.5,6.43,1.87,TIME STOP,False,False,True,True,True,False,True
GAS,BOTTOM,50.0,UNKNOWN,-0.84,-1.19,40.0,17.45,5.7,TIME STOP,False,True,True,False,True,False,True
ELC,BOTTOM,50.0,UNKNOWN,-1.23,-1.58,33.8,7.3,3.37,TIME STOP,False,False,True,True,True,False,True
SBT,BOTTOM,50.0,UNKNOWN,-1.35,-1.7,15.0,5.95,2.09,TIME STOP,False,False,True,True,True,False,True
KDC,BOTTOM,50.0,UNKNOWN,-1.43,-1.78,12.5,7.91,2.24,TIME STOP,False,False,True,True,True,False,True
DRC,BOTTOM,50.0,UNKNOWN,-1.54,-1.89,33.8,4.27,1.96,TIME STOP,False,False,True,True,True,False,True
BCM,BOTTOM,50.0,UNKNOWN,-1.77,-2.12,22.5,8.57,3.6,TIME STOP,False,False,True,True,True,False,True
VND,BOTTOM,50.0,UNKNOWN,-2.61,-2.96,25.0,10.03,3.49,TIME STOP,False,False,True,False,True,False,True
ANV,BOTTOM,50.0,UNKNOWN,-1.56,-1.91,35.9,4.04,1.89,TIME STOP,False,True,True,True,True,False,True
APG,MOMENTUM,50.0,UNKNOWN,-0.31,-0.66,32.5,4.77,2.22,TIME STOP,False,False,True,True,True,False,True
VGC,MOMENTUM,50.0,UNKNOWN,-0.33,-0.68,43.8,4.84,2.26,TIME STOP,False,True,True,True,True,False,True
VCI,MOMENTUM,50.0,UNKNOWN,-0.35,-0.7,38.8,6.65,2.88,TIME STOP,False,True,True,True,True,False,True
VND,MOMENTUM,50.0,UNKNOWN,-0.39,-0.74,46.2,10.03,3.49,TIME STOP,False,True,True,False,True,False,True
BCM,MOMENTUM,50.0,UNKNOWN,-0.49,-0.84,35.0,8.57,3.6,TIME STOP,False,True,True,True,True,False,True
TPB,MOMENTUM,50.0,UNKNOWN,-0.56,-0.91,26.2,5.4,1.95,TIME STOP,False,False,True,True,True,False,True
