Ngày tín hiệu,Exposure,Lợi nhuận danh mục exit sau phí %,Win danh mục,Danh mục,Equity giả lập,Drawdown giả lập %,Survival Exposure,Protection Multiplier,Recovery Multiplier,Kill Switch,Adjusted Equity
2024-01-08 07:00:00,0.2,-0.828,0,CTR-MOMENTUM,99.172,-0.828,0.165,0.6,0.5,False,16.36338
2024-01-09 07:00:00,0.2,-0.334,0,CTR-MOMENTUM,98.8408,-1.159,0.165,0.6,0.5,False,16.308732000000003
2024-01-11 07:00:00,0.2,-0.194,0,CTR-MOMENTUM,98.649,-1.351,0.165,0.6,0.5,False,16.277085
2024-01-23 07:00:00,0.2,0.314,1,PDR-MOMENTUM,98.9588,-1.041,0.165,0.6,0.5,False,16.328202
2024-01-25 07:00:00,0.2,0.472,1,CTR-MOMENTUM,99.4259,-0.574,0.165,0.6,0.5,False,16.4052735
2024-01-26 07:00:00,0.2,0.536,1,PDR-MOMENTUM,99.9588,-0.041,0.165,0.6,0.5,False,16.493202
2024-01-29 07:00:00,0.2,0.9,1,PDR-MOMENTUM,100.8584,0.0,0.165,0.6,0.5,False,16.641636000000002
2024-01-30 07:00:00,0.2,0.764,1,"CTR-MOMENTUM, PDR-MOMENTUM",101.629,0.0,0.165,0.6,0.5,False,16.768785
2024-01-31 07:00:00,0.2,1.3,1,PDR-MOMENTUM,102.9501,0.0,0.165,0.6,0.5,False,16.9867665
2024-02-01 07:00:00,0.2,0.864,1,PDR-MOMENTUM,103.8396,0.0,0.165,0.6,0.5,False,17.133534
2024-02-15 07:00:00,0.2,0.594,1,CTR-MOMENTUM,104.4564,0.0,0.165,0.6,0.5,False,17.235306
2024-02-19 07:00:00,0.2,0.784,1,CTR-MOMENTUM,105.2754,0.0,0.165,0.6,0.5,False,17.370441000000003
2024-02-20 07:00:00,0.2,0.912,1,CTR-MOMENTUM,106.2355,0.0,0.165,0.6,0.5,False,17.5288575
2024-02-23 07:00:00,0.2,1.226,1,CTR-MOMENTUM,107.5379,0.0,0.165,0.6,0.5,False,17.7437535
2024-03-04 07:00:00,0.2,1.452,1,CTR-MOMENTUM,109.0994,0.0,0.165,0.6,0.5,False,18.001401
2024-03-05 07:00:00,0.2,2.514,1,CTR-MOMENTUM,111.8421,0.0,0.165,0.6,0.5,False,18.4539465
2024-03-08 07:00:00,0.2,2.368,1,CTR-MOMENTUM,114.4906,0.0,0.165,0.6,0.5,False,18.890949000000003
2024-03-20 07:00:00,0.2,2.17,1,PDR-MOMENTUM,116.975,0.0,0.165,0.6,0.5,False,19.300875
2024-05-02 07:00:00,0.2,-0.328,0,TVS-MOMENTUM,116.5913,-0.328,0.165,0.6,0.5,False,19.2375645
2024-05-03 07:00:00,0.2,-0.036,0,TVS-MOMENTUM,116.5494,-0.364,0.165,0.6,0.5,False,19.230651
2024-05-07 07:00:00,0.2,-0.448,0,TVS-MOMENTUM,116.0272,-0.81,0.165,0.6,0.5,False,19.144488
2024-05-08 07:00:00,0.2,0.212,1,TVS-MOMENTUM,116.2732,-0.6,0.165,0.6,0.5,False,19.185078
2024-06-06 07:00:00,0.2,0.268,1,PDR-MOMENTUM,116.5848,-0.334,0.165,0.6,0.5,False,19.236492000000002
2024-06-07 07:00:00,0.2,2.622,1,CTR-MOMENTUM,119.6417,0.0,0.165,0.6,0.5,False,19.7408805
2024-06-12 07:00:00,0.2,3.64,1,CTR-MOMENTUM,123.9966,0.0,0.165,0.6,0.5,False,20.459439
2024-08-23 07:00:00,0.2,-0.238,0,CTR-MOMENTUM,123.7015,-0.238,0.165,0.6,0.5,False,20.4107475
