Ngày tín hiệu,Exposure,Lợi nhuận danh mục exit sau phí %,Win danh mục,Danh mục,Equity giả lập,Drawdown giả lập %,Survival Exposure,Protection Multiplier,Recovery Multiplier,Kill Switch,Adjusted Equity
2024-09-04 07:00:00,0.2,-0.82,0,CTR-MOMENTUM,122.6872,-1.056,0.165,0.6,0.5,False,20.243388000000003
2024-09-20 07:00:00,0.2,0.386,1,PDR-MOMENTUM,123.1607,-0.674,0.165,0.6,0.5,False,20.3215155
2024-09-23 07:00:00,0.2,0.112,1,PDR-MOMENTUM,123.2987,-0.563,0.165,0.6,0.5,False,20.3442855
2024-09-27 07:00:00,0.2,-0.404,0,ABB-MOMENTUM,122.8005,-0.965,0.165,0.6,0.5,False,20.2620825
2024-09-30 07:00:00,0.2,-0.674,0,ABB-MOMENTUM,121.9729,-1.632,0.165,0.6,0.5,False,20.1255285
2024-10-01 07:00:00,0.2,-0.434,0,ABB-MOMENTUM,121.4435,-2.059,0.165,0.6,0.5,False,20.0381775
2024-10-02 07:00:00,0.2,-0.68,0,ABB-MOMENTUM,120.6177,-2.725,0.165,0.6,0.5,False,19.9019205
2024-10-03 07:00:00,0.2,-0.434,0,ABB-MOMENTUM,120.0942,-3.147,0.165,0.6,0.5,False,19.815543
2024-10-04 07:00:00,0.2,1.028,1,CTR-MOMENTUM,121.3288,-2.152,0.165,0.6,0.5,False,20.019252
2024-10-07 07:00:00,0.2,0.716,1,CTR-MOMENTUM,122.1975,-1.451,0.165,0.6,0.5,False,20.1625875
2024-10-16 07:00:00,0.2,-1.226,0,CTR-MOMENTUM,120.6994,-2.659,0.165,0.6,0.5,False,19.915401
2024-10-25 07:00:00,0.2,-0.848,0,PDR-MOMENTUM,119.6758,-3.485,0.165,0.6,0.5,False,19.746507
2024-10-28 07:00:00,0.2,-0.77,0,PDR-MOMENTUM,118.7543,-4.228,0.165,0.6,0.5,False,19.5944595
2024-10-29 07:00:00,0.2,-0.16,0,PDR-MOMENTUM,118.5643,-4.381,0.165,0.6,0.5,False,19.563109500000003
2024-11-06 07:00:00,0.2,-0.352,0,PDR-MOMENTUM,118.147,-4.718,0.165,0.6,0.5,False,19.494255000000003
2024-11-11 07:00:00,0.2,-1.3,0,VIX-BOTTOM,116.6111,-5.956,0.165,0.6,0.5,False,19.2408315
2024-11-12 07:00:00,0.2,-1.742,0,VIX-BOTTOM,114.5797,-7.595,0.165,0.6,0.5,False,18.9056505
2024-11-13 07:00:00,0.2,-1.094,0,VIX-BOTTOM,113.3262,-8.605,0.165,0.6,0.5,False,18.698823
2024-11-14 07:00:00,0.2,-0.26,0,VIX-BOTTOM,113.0315,-8.843,0.165,0.6,0.5,False,18.6501975
2024-11-15 07:00:00,0.2,-0.108,0,VIX-BOTTOM,112.9095,-8.942,0.165,0.6,0.5,False,18.6300675
2024-11-18 07:00:00,0.2,-0.286,0,VIX-BOTTOM,112.5865,-9.202,0.165,0.6,0.5,False,18.5767725
2024-11-19 07:00:00,0.2,0.934,1,VIX-BOTTOM,113.6381,-8.354,0.165,0.6,0.5,False,18.7502865
2024-11-20 07:00:00,0.2,0.614,1,VIX-BOTTOM,114.3358,-7.791,0.165,0.6,0.5,False,18.865407
2024-11-21 07:00:00,0.2,0.092,1,VIX-BOTTOM,114.441,-7.706,0.165,0.6,0.5,False,18.882765000000003
2024-11-22 07:00:00,0.2,0.506,1,VIX-BOTTOM,115.0201,-7.239,0.165,0.6,0.5,False,18.978316500000002
2024-11-25 07:00:00,0.2,0.27,1,VIX-BOTTOM,115.3307,-6.989,0.165,0.6,0.5,False,19.0295655
2024-11-26 07:00:00,0.2,-0.654,0,"VIX-BOTTOM, PDR-MOMENTUM",114.5764,-7.597,0.165,0.6,0.5,False,18.905106000000004
2024-11-27 07:00:00,0.2,-0.916,0,"VIX-BOTTOM, PDR-MOMENTUM",113.5269,-8.444,0.165,0.6,0.5,False,18.731938500000002
2024-11-28 07:00:00,0.2,0.496,1,"VIX-BOTTOM, PDR-MOMENTUM",114.09,-7.989,0.165,0.6,0.5,False,18.82485
2024-11-29 07:00:00,0.2,0.366,1,"VIX-BOTTOM, PDR-MOMENTUM",114.5075,-7.653,0.165,0.6,0.5,False,18.8937375
2024-12-20 07:00:00,0.2,-0.094,0,CTR-MOMENTUM,114.3999,-7.74,0.165,0.6,0.5,False,18.8759835
2024-12-31 07:00:00,0.2,-0.59,0,VIX-BOTTOM,113.7249,-8.284,0.165,0.6,0.5,False,18.7646085
2025-01-06 07:00:00,0.2,-1.148,0,VIX-BOTTOM,112.4194,-9.337,0.165,0.6,0.5,False,18.549201
2025-01-07 07:00:00,0.2,-1.132,0,VIX-BOTTOM,111.1468,-10.363,0.165,0.6,0.5,False,18.339222
2025-01-08 07:00:00,0.2,-0.962,0,VIX-BOTTOM,110.0776,-11.225,0.165,0.6,0.5,False,18.162804
2025-01-09 07:00:00,0.2,-0.17,0,"VIX-BOTTOM, CTR-MOMENTUM",109.8904,-11.376,0.165,0.6,0.5,False,18.131916
2025-01-10 07:00:00,0.2,0.436,1,VIX-BOTTOM,110.3695,-10.99,0.165,0.6,0.5,False,18.210967500000002
2025-01-13 07:00:00,0.2,0.714,1,VIX-BOTTOM,111.1576,-10.354,0.165,0.6,0.5,False,18.341004
2025-01-14 07:00:00,0.2,1.026,1,VIX-BOTTOM,112.2981,-9.435,0.165,0.6,0.5,False,18.5291865
2025-01-15 07:00:00,0.2,0.218,1,VIX-BOTTOM,112.5429,-9.237,0.165,0.6,0.5,False,18.569578500000002
2025-01-16 07:00:00,0.2,0.356,1,"VIX-BOTTOM, CTR-MOMENTUM",112.9435,-8.914,0.165,0.6,0.5,False,18.6356775
2025-01-17 07:00:00,0.2,0.708,1,VIX-BOTTOM,113.7432,-8.269,0.165,0.6,0.5,False,18.767628000000002
2025-01-20 07:00:00,0.2,0.494,1,VIX-BOTTOM,114.3051,-7.816,0.165,0.6,0.5,False,18.8603415
2025-01-22 07:00:00,0.2,1.03,1,VIX-BOTTOM,115.4824,-6.866,0.165,0.6,0.5,False,19.054596
2025-02-05 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,115.2976,-7.016,0.165,0.6,0.5,False,19.024104
2025-02-06 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,115.1132,-7.164,0.165,0.6,0.5,False,18.993678000000003
2025-02-07 07:00:00,0.2,-0.08,0,"ABB-MOMENTUM, PDR-MOMENTUM",115.0211,-7.239,0.165,0.6,0.5,False,18.9784815
2025-02-10 07:00:00,0.2,1.174,1,ABB-MOMENTUM,116.3714,-6.15,0.165,0.6,0.5,False,19.201281
2025-02-11 07:00:00,0.2,0.63,1,ABB-MOMENTUM,117.1045,-5.558,0.165,0.6,0.5,False,19.3222425
2025-02-12 07:00:00,0.2,0.82,1,TVS-MOMENTUM,118.0648,-4.784,0.165,0.6,0.5,False,19.480692
2025-02-13 07:00:00,0.2,1.086,1,TVS-MOMENTUM,119.347,-3.75,0.165,0.6,0.5,False,19.692255
2025-02-14 07:00:00,0.2,0.548,1,"ABB-MOMENTUM, TVS-MOMENTUM",120.001,-3.222,0.165,0.6,0.5,False,19.800165000000003
2025-02-17 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.809,-3.377,0.165,0.6,0.5,False,19.768485000000002
2025-02-18 07:00:00,0.2,0.094,1,ABB-MOMENTUM,119.9216,-3.286,0.165,0.6,0.5,False,19.787064
2025-02-19 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.7298,-3.441,0.165,0.6,0.5,False,19.755417
2025-02-20 07:00:00,0.2,-0.08,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.634,-3.518,0.165,0.6,0.5,False,19.739610000000003
2025-02-21 07:00:00,0.2,-0.146,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.4593,-3.659,0.165,0.6,0.5,False,19.7107845
2025-02-24 07:00:00,0.2,0.622,1,PDR-MOMENTUM,120.2023,-3.06,0.165,0.6,0.5,False,19.8333795
2025-02-25 07:00:00,0.2,-0.202,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.9595,-3.256,0.165,0.6,0.5,False,19.7933175
2025-02-27 07:00:00,0.2,0.036,1,PDR-MOMENTUM,120.0027,-3.221,0.165,0.6,0.5,False,19.800445500000002
2025-03-11 07:00:00,0.2,0.802,1,ABB-MOMENTUM,120.9651,-2.445,0.165,0.6,0.5,False,19.9592415
2025-03-17 07:00:00,0.2,-0.864,0,ABB-MOMENTUM,119.92,-3.288,0.165,0.6,0.5,False,19.7868
2025-03-19 07:00:00,0.2,-1.138,0,ABB-MOMENTUM,118.5553,-4.388,0.165,0.6,0.5,False,19.5616245
2025-03-20 07:00:00,0.2,-0.758,0,PDR-MOMENTUM,117.6567,-5.113,0.165,0.6,0.5,False,19.4133555
2025-03-21 07:00:00,0.2,-1.14,0,PDR-MOMENTUM,116.3154,-6.195,0.165,0.6,0.5,False,19.192041
2025-04-08 07:00:00,0.2,2.356,1,VIX-BOTTOM,119.0558,-3.985,0.165,0.6,0.5,False,19.644207
2025-04-10 07:00:00,0.2,2.368,1,VIX-BOTTOM,121.875,-1.711,0.165,0.6,0.5,False,20.109375
2025-05-07 07:00:00,0.2,0.988,1,VIX-BOTTOM,123.0791,-0.74,0.165,0.6,0.5,False,20.3080515
2025-05-09 07:00:00,0.2,-0.342,0,PDR-MOMENTUM,122.6582,-1.079,0.165,0.6,0.5,False,20.238603
2025-05-12 07:00:00,0.2,0.022,1,PDR-MOMENTUM,122.6852,-1.058,0.165,0.6,0.5,False,20.243058
2025-05-13 07:00:00,0.2,0.024,1,PDR-MOMENTUM,122.7146,-1.034,0.165,0.6,0.5,False,20.247909
2025-05-14 07:00:00,0.2,-0.212,0,PDR-MOMENTUM,122.4545,-1.244,0.165,0.6,0.5,False,20.2049925
2025-05-15 07:00:00,0.2,-0.666,0,ABB-MOMENTUM,121.6389,-1.901,0.165,0.6,0.5,False,20.070418500000002
2025-05-16 07:00:00,0.2,-0.416,0,ABB-MOMENTUM,121.1329,-2.31,0.165,0.6,0.5,False,19.9869285
2025-05-19 07:00:00,0.2,0.1,1,ABB-MOMENTUM,121.254,-2.212,0.165,0.6,0.5,False,20.00691
2025-05-20 07:00:00,0.2,-0.098,0,CTR-MOMENTUM,121.1352,-2.308,0.165,0.6,0.5,False,19.987308000000002
2025-05-21 07:00:00,0.2,1.15,1,ABB-MOMENTUM,122.5283,-1.184,0.165,0.6,0.5,False,20.2171695
2025-05-27 07:00:00,0.2,-0.3,0,"CTR-MOMENTUM, ABB-MOMENTUM",122.1607,-1.481,0.165,0.6,0.5,False,20.1565155
2025-05-28 07:00:00,0.2,-0.4,0,ABB-MOMENTUM,121.672,-1.875,0.165,0.6,0.5,False,20.07588
2025-05-29 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,121.4774,-2.032,0.165,0.6,0.5,False,20.043771000000003
2025-05-30 07:00:00,0.2,0.25,1,"PDR-MOMENTUM, ABB-MOMENTUM",121.7811,-1.787,0.165,0.6,0.5,False,20.0938815
2025-06-02 07:00:00,0.2,-0.588,0,"ABB-MOMENTUM, TVS-MOMENTUM",121.065,-2.364,0.165,0.6,0.5,False,19.975725
2025-06-03 07:00:00,0.2,-0.404,0,ABB-MOMENTUM,120.5759,-2.759,0.165,0.6,0.5,False,19.8950235
2025-06-04 07:00:00,0.2,-0.47,0,"ANV-MOMENTUM, TVS-MOMENTUM",120.0092,-3.216,0.165,0.6,0.5,False,19.801518
2025-06-05 07:00:00,0.2,-0.286,0,ANV-MOMENTUM,119.666,-3.493,0.165,0.6,0.5,False,19.74489
2025-06-06 07:00:00,0.2,-0.16,0,ANV-MOMENTUM,119.4745,-3.647,0.165,0.6,0.5,False,19.7132925
2025-06-11 07:00:00,0.2,0.078,1,ABB-MOMENTUM,119.5677,-3.572,0.165,0.6,0.5,False,19.7286705
2025-06-12 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.3764,-3.726,0.165,0.6,0.5,False,19.697106
2025-06-13 07:00:00,0.2,0.354,1,"VIX-BOTTOM, ABB-MOMENTUM",119.799,-3.385,0.165,0.6,0.5,False,19.766835
2025-06-16 07:00:00,0.2,1.11,1,ANV-MOMENTUM,121.1287,-2.313,0.165,0.6,0.5,False,19.9862355
2025-06-17 07:00:00,0.2,1.068,1,"VIX-BOTTOM, ANV-MOMENTUM",122.4224,-1.27,0.165,0.6,0.5,False,20.199696
2025-06-18 07:00:00,0.2,1.034,1,"VIX-BOTTOM, ANV-MOMENTUM",123.6882,-0.249,0.165,0.6,0.5,False,20.408553
2025-06-19 07:00:00,0.2,1.568,1,"VIX-BOTTOM, ANV-MOMENTUM",125.6277,0.0,0.165,0.6,0.5,False,20.7285705
2025-06-20 07:00:00,0.2,0.46,1,"VIX-BOTTOM, CTR-MOMENTUM, ANV-MOMENTUM, ABB-MOMENTUM, PDR-MOMENTUM",126.2056,0.0,0.165,0.6,0.5,False,20.823924
2025-06-23 07:00:00,0.2,1.182,1,"VIX-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM, CTR-BOTTOM",127.6973,0.0,0.165,0.6,0.5,False,21.0700545
2025-06-24 07:00:00,0.2,1.67,1,"VIX-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",129.8298,0.0,0.165,0.6,0.5,False,21.421917
2025-06-25 07:00:00,0.2,2.974,1,"ANV-MOMENTUM, CTR-BOTTOM",133.691,0.0,0.165,0.6,0.5,False,22.059015000000002
2025-06-26 07:00:00,0.2,2.094,1,"ANV-MOMENTUM, CTR-BOTTOM",136.4905,0.0,0.165,0.6,0.5,False,22.5209325
2025-06-30 07:00:00,0.2,0.24,1,"PDR-MOMENTUM, CTR-BOTTOM",136.8181,0.0,0.165,0.6,0.5,False,22.574986499999998
2025-07-01 07:00:00,0.2,0.114,1,CTR-BOTTOM,136.974,0.0,0.165,0.6,0.5,False,22.60071
2025-07-02 07:00:00,0.2,0.628,1,"CTR-MOMENTUM, PDR-MOMENTUM, CTR-BOTTOM",137.8342,0.0,0.165,0.6,0.5,False,22.742643
2025-07-03 07:00:00,0.2,0.22,1,CTR-BOTTOM,138.1375,0.0,0.165,0.6,0.5,False,22.7926875
2025-07-04 07:00:00,0.2,-0.178,0,CTR-BOTTOM,137.8916,-0.178,0.165,0.6,0.5,False,22.752114000000002
2025-07-07 07:00:00,0.2,-0.14,0,CTR-BOTTOM,137.6985,-0.318,0.165,0.6,0.5,False,22.7202525
2025-07-08 07:00:00,0.2,-0.526,0,"CTR-MOMENTUM, CTR-BOTTOM",136.9742,-0.842,0.165,0.6,0.5,False,22.600743
2025-07-09 07:00:00,0.2,-0.126,0,"ABB-MOMENTUM, CTR-BOTTOM",136.8016,-0.967,0.165,0.6,0.5,False,22.572264
2025-07-10 07:00:00,0.2,-0.006,0,"CTR-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",136.7934,-0.973,0.165,0.6,0.5,False,22.570911
2025-07-11 07:00:00,0.2,-0.116,0,"ABB-MOMENTUM, CTR-BOTTOM",136.6348,-1.088,0.165,0.6,0.5,False,22.544742000000003
2025-07-14 07:00:00,0.2,-0.67,0,"CTR-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",135.7193,-1.751,0.165,0.6,0.5,False,22.393684500000003
2025-07-15 07:00:00,0.2,-0.248,0,"ABB-MOMENTUM, CTR-BOTTOM",135.3827,-1.994,0.165,0.6,0.5,False,22.3381455
2025-07-16 07:00:00,0.2,0.506,1,"ABB-MOMENTUM, CTR-BOTTOM",136.0678,-1.498,0.165,0.6,0.5,False,22.451187
2025-07-17 07:00:00,0.2,0.958,1,"ANV-MOMENTUM, ABB-MOMENTUM",137.3713,-0.555,0.165,0.6,0.5,False,22.6662645
2025-07-18 07:00:00,0.2,1.742,1,"ANV-MOMENTUM, ABB-MOMENTUM",139.7643,0.0,0.165,0.6,0.5,False,23.0611095
2025-07-21 07:00:00,0.2,1.17,1,ANV-MOMENTUM,141.3995,0.0,0.165,0.6,0.5,False,23.330917499999998
2025-07-22 07:00:00,0.2,1.412,1,"ANV-MOMENTUM, ABB-MOMENTUM",143.3961,0.0,0.165,0.6,0.5,False,23.6603565
2025-07-23 07:00:00,0.2,-1.34,0,ANV-MOMENTUM,141.4746,-1.34,0.165,0.6,0.5,False,23.343309
2025-07-25 07:00:00,0.2,-1.506,0,ANV-MOMENTUM,139.344,-2.826,0.165,0.6,0.5,False,22.99176
2025-07-28 07:00:00,0.2,-0.442,0,ANV-MOMENTUM,138.7281,-3.255,0.165,0.6,0.5,False,22.890136500000004
2025-07-31 07:00:00,0.2,3.55,1,ANV-MOMENTUM,143.6529,0.0,0.165,0.6,0.5,False,23.7027285
2025-08-05 07:00:00,0.2,2.144,1,ANV-MOMENTUM,146.7328,0.0,0.165,0.6,0.5,False,24.210912
2025-08-06 07:00:00,0.2,1.42,1,"VHM-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM",148.8164,0.0,0.165,0.6,0.5,False,24.554706
2025-08-07 07:00:00,0.2,-0.652,0,"VHM-BOTTOM, ANV-MOMENTUM",147.8462,-0.652,0.165,0.6,0.5,False,24.394623000000003
2025-08-08 07:00:00,0.2,-0.534,0,"VHM-BOTTOM, ANV-MOMENTUM",147.0567,-1.183,0.165,0.6,0.5,False,24.2643555
2025-08-11 07:00:00,0.2,0.09,1,"VHM-BOTTOM, ANV-MOMENTUM",147.189,-1.094,0.165,0.6,0.5,False,24.286185
2025-08-12 07:00:00,0.2,0.124,1,"VHM-BOTTOM, ANV-MOMENTUM",147.3715,-0.971,0.165,0.6,0.5,False,24.3162975
2025-08-13 07:00:00,0.2,0.542,1,"VHM-BOTTOM, ANV-MOMENTUM",148.1703,-0.434,0.165,0.6,0.5,False,24.4480995
2025-08-14 07:00:00,0.2,1.096,1,VHM-BOTTOM,149.7942,0.0,0.165,0.6,0.5,False,24.716043
2025-08-15 07:00:00,0.2,1.472,1,"VHM-BOTTOM, TVS-MOMENTUM",151.9992,0.0,0.165,0.6,0.5,False,25.079868
2025-08-18 07:00:00,0.2,-0.454,0,"VHM-BOTTOM, ANV-MOMENTUM",151.3091,-0.454,0.165,0.6,0.5,False,24.9660015
2025-08-19 07:00:00,0.2,0.736,1,"VHM-BOTTOM, ANV-MOMENTUM",152.4228,0.0,0.165,0.6,0.5,False,25.149762
2025-08-20 07:00:00,0.2,-0.494,0,ANV-MOMENTUM,151.6698,-0.494,0.165,0.6,0.5,False,25.025517000000004
2025-08-25 07:00:00,0.2,0.714,1,VHM-BOTTOM,152.7527,0.0,0.165,0.6,0.5,False,25.2041955
2025-08-29 07:00:00,0.2,0.54,1,ANV-MOMENTUM,153.5776,0.0,0.165,0.6,0.5,False,25.340304
2025-09-03 07:00:00,0.2,0.44,1,ANV-MOMENTUM,154.2533,0.0,0.165,0.6,0.5,False,25.451794500000002
2025-09-04 07:00:00,0.2,0.388,1,ANV-MOMENTUM,154.8518,0.0,0.165,0.6,0.5,False,25.550547
2025-09-05 07:00:00,0.2,0.716,1,ANV-MOMENTUM,155.9606,0.0,0.165,0.6,0.5,False,25.733499000000002
2025-09-09 07:00:00,0.2,0.054,1,ANV-MOMENTUM,156.0448,0.0,0.165,0.6,0.5,False,25.747392
2025-09-10 07:00:00,0.2,0.236,1,ANV-MOMENTUM,156.413,0.0,0.165,0.6,0.5,False,25.808145000000003
2025-09-11 07:00:00,0.2,-0.62,0,ANV-MOMENTUM,155.4433,-0.62,0.165,0.6,0.5,False,25.6481445
2025-09-12 07:00:00,0.2,-0.898,0,ANV-MOMENTUM,154.0474,-1.512,0.165,0.6,0.5,False,25.417821000000004
2025-09-15 07:00:00,0.2,-1.554,0,"ANV-MOMENTUM, CTR-BOTTOM",151.6535,-3.043,0.165,0.6,0.5,False,25.022827500000002
2025-09-16 07:00:00,0.2,-0.602,0,"ANV-MOMENTUM, CTR-BOTTOM",150.7406,-3.627,0.165,0.6,0.5,False,24.872199000000002
2025-09-17 07:00:00,0.2,-0.65,0,"VHM-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",149.7607,-4.253,0.165,0.6,0.5,False,24.710515500000003
2025-09-18 07:00:00,0.2,-0.6,0,"VHM-BOTTOM, CTR-BOTTOM",148.8622,-4.828,0.165,0.6,0.5,False,24.562263
2025-09-19 07:00:00,0.2,-0.212,0,"VIX-BOTTOM, VHM-BOTTOM, CTR-MOMENTUM, CTR-BOTTOM",148.5466,-5.029,0.165,0.6,0.5,False,24.510189000000004
2025-09-22 07:00:00,0.2,0.322,1,VHM-BOTTOM,149.0249,-4.723,0.165,0.6,0.5,False,24.589108500000002
2025-09-23 07:00:00,0.2,0.712,1,VHM-BOTTOM,150.086,-4.045,0.165,0.6,0.5,False,24.764190000000003
2025-09-24 07:00:00,0.2,0.494,1,VHM-BOTTOM,150.8274,-3.571,0.165,0.6,0.5,False,24.886521000000002
2025-09-25 07:00:00,0.2,-1.016,0,"VHM-BOTTOM, PDR-MOMENTUM",149.295,-4.551,0.165,0.6,0.5,False,24.633675
2025-09-26 07:00:00,0.2,-0.684,0,"VHM-BOTTOM, CTR-BOTTOM",148.2738,-5.204,0.165,0.6,0.5,False,24.465177
2025-09-29 07:00:00,0.2,-0.608,0,"VHM-BOTTOM, CTR-BOTTOM",147.3723,-5.78,0.165,0.6,0.5,False,24.3164295
2025-09-30 07:00:00,0.2,0.3,1,"VHM-BOTTOM, ANV-MOMENTUM",147.8144,-5.497,0.165,0.6,0.5,False,24.389376000000002
2025-10-01 07:00:00,0.2,1.62,1,"VHM-BOTTOM, ANV-MOMENTUM",150.209,-3.966,0.165,0.6,0.5,False,24.784485
2025-10-02 07:00:00,0.2,2.838,1,"VHM-BOTTOM, ANV-MOMENTUM",154.4719,-1.241,0.165,0.6,0.5,False,25.487863500000003
2025-10-03 07:00:00,0.2,2.198,1,"VHM-BOTTOM, VIX-BOTTOM, ANV-MOMENTUM",157.8672,0.0,0.165,0.6,0.5,False,26.048088
2025-10-06 07:00:00,0.2,2.486,1,"VHM-BOTTOM, ANV-MOMENTUM",161.7918,0.0,0.165,0.6,0.5,False,26.695647
2025-10-07 07:00:00,0.2,2.702,1,"VHM-BOTTOM, ANV-MOMENTUM",166.1634,0.0,0.165,0.6,0.5,False,27.416961
2025-10-08 07:00:00,0.2,1.096,1,"VHM-BOTTOM, ANV-MOMENTUM",167.9846,0.0,0.165,0.6,0.5,False,27.717459
2025-10-09 07:00:00,0.2,-1.448,0,ANV-MOMENTUM,165.5522,-1.448,0.165,0.6,0.5,False,27.316113
2025-10-10 07:00:00,0.2,-0.024,0,"ANV-MOMENTUM, ABB-MOMENTUM",165.5124,-1.472,0.165,0.6,0.5,False,27.309546000000005
2025-10-13 07:00:00,0.2,-1.692,0,"GVR-BOTTOM, ANV-MOMENTUM, ABB-MOMENTUM",162.712,-3.139,0.165,0.6,0.5,False,26.84748
2025-10-14 07:00:00,0.2,-1.292,0,"GVR-BOTTOM, ANV-MOMENTUM",160.6097,-4.39,0.165,0.6,0.5,False,26.5006005
2025-10-15 07:00:00,0.2,-0.11,0,"GVR-BOTTOM, ABB-MOMENTUM",160.4331,-4.495,0.165,0.6,0.5,False,26.4714615
2025-10-16 07:00:00,0.2,-0.176,0,"GVR-BOTTOM, ABB-MOMENTUM",160.1507,-4.663,0.165,0.6,0.5,False,26.424865500000003
2025-10-17 07:00:00,0.2,-0.288,0,"GVR-BOTTOM, ABB-MOMENTUM",159.6895,-4.938,0.165,0.6,0.5,False,26.348767500000005
2025-10-20 07:00:00,0.2,-0.438,0,VHM-BOTTOM,158.99,-5.354,0.165,0.6,0.5,False,26.23335
2025-10-21 07:00:00,0.2,-0.638,0,"VHM-BOTTOM, VIX-BOTTOM, CTR-BOTTOM",157.9757,-5.958,0.165,0.6,0.5,False,26.065990499999998
2025-10-22 07:00:00,0.2,0.748,1,"GVR-BOTTOM, ABB-MOMENTUM, CTR-BOTTOM",159.1573,-5.255,0.165,0.6,0.5,False,26.2609545
2025-10-23 07:00:00,0.2,0.16,1,"GVR-BOTTOM, VIX-BOTTOM, ANV-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",159.412,-5.103,0.165,0.6,0.5,False,26.30298
