Mã,Ngày mua,Số ngày giữ ước tính,Ngày dự kiến bán được,Bán được chưa?,Ghi chú T+2.5,Số lượng,Giá vốn,Giá hiện tại,Nguồn giá,Thời gian giá,Realtime OK,Ghi chú giá,Lãi/lỗ %,Tỷ trọng hiện tại %,Quyết định cuối,Chế độ đánh,Meta Allocation %,Meta Exposure,Regime,Equity State,Nhóm realtime,Trạng thái xu hướng,MA5,MA20,ATR,ATR %,Swing Low,Swing High,Hard Stop,ATR Stop,MA20 Stop,Swing Low Stop,Trailing Stop,Stop đề xuất,Loại stop chính,Trạng thái vị thế,Có thể mua thêm?,Lý do mua thêm,Hành động gốc,Hành động V19.2,Kết luận dễ hiểu,Lý do chính,Độ ưu tiên cảnh báo,Cập nhật lúc
VRE,2026-05-12,7.0,2026-05-14,CÓ,Đã đủ điều kiện bán theo T+2.5,1750.0,34.72,33.2,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-4.378,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,TRÊN MA20,33.49,32.633,2.054,6.185,32.5,37.5,32.984,29.092,32.307,32.337,,32.984,Hard Stop,GIỮ / THEO DÕI,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THEO DÕI VỊ THẾ,THEO DÕI VỊ THẾ,"Theo dõi vị thế, chưa hành động mạnh",Chưa có tín hiệu hành động mạnh,1,2026-05-19 13:02:11
CII,2026-05-12,7.0,2026-05-14,CÓ,Đã đủ điều kiện bán theo T+2.5,1600.0,19.39,19.0,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-2.011,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,TRÊN MA20,19.07,18.975,0.718,3.778,18.3,20.35,18.421,17.564,18.785,18.209,,18.785,MA20 Stop,GIỮ / THEO DÕI,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THEO DÕI VỊ THẾ,THEO DÕI VỊ THẾ,"Theo dõi vị thế, chưa hành động mạnh",Chưa có tín hiệu hành động mạnh,1,2026-05-19 13:02:11
EIB,2026-05-12,7.0,2026-05-14,CÓ,Đã đủ điều kiện bán theo T+2.5,1100.0,23.09,21.85,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-5.37,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,DƯỚI MA20,21.92,22.165,0.557,2.55,21.5,23.2,21.935,20.736,21.943,21.392,,21.943,MA20 Stop,CHẠM STOP THÔNG MINH,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THOÁT VỊ THẾ,KIỂM TRA GIÁ TRƯỚC KHI BÁN,Giá chưa được xác nhận realtime; kiểm tra app chứng khoán trước khi bán,Price Guard: đang trong giờ thị trường nhưng nguồn giá = history_cache_fallback; không xác nhận bán mạnh nếu chưa có giá intraday realtime.; tín hiệu gốc là THOÁT VỊ THẾ,4,2026-05-19 13:02:11
BFC,2026-05-12,7.0,2026-05-14,CÓ,Đã đủ điều kiện bán theo T+2.5,400.0,66.44,62.6,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-5.78,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,DƯỚI MA20,62.86,64.835,3.107,4.963,61.2,68.2,63.118,56.386,64.187,60.894,,64.187,MA20 Stop,CHẠM STOP THÔNG MINH,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THOÁT VỊ THẾ,KIỂM TRA GIÁ TRƯỚC KHI BÁN,Giá chưa được xác nhận realtime; kiểm tra app chứng khoán trước khi bán,Price Guard: đang trong giờ thị trường nhưng nguồn giá = history_cache_fallback; không xác nhận bán mạnh nếu chưa có giá intraday realtime.; tín hiệu gốc là THOÁT VỊ THẾ,4,2026-05-19 13:02:11
ORS,2026-05-15,4.0,2026-05-17,CÓ,Đã đủ điều kiện bán theo T+2.5,100.0,13.72,13.65,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-0.51,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,XU HƯỚNG TỐT,13.55,13.405,0.354,2.59,13.1,13.95,13.034,12.942,13.271,13.034,,13.271,MA20 Stop,GIỮ / THEO DÕI,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THEO DÕI VỊ THẾ,THEO DÕI VỊ THẾ,"Theo dõi vị thế, chưa hành động mạnh",Chưa có tín hiệu hành động mạnh,1,2026-05-19 13:02:11
HCM,2026-05-19,0.0,2026-05-21,CHƯA,CHƯA BÁN ĐƯỢC - chưa đủ T+2.5,240.0,30.25,30.0,history_cache_fallback,2026-05-19 07:00:00,KHÔNG,"Intraday fail, dùng cache để tham khảo; KHÔNG dùng để bán mạnh",-0.826,0.0,UNKNOWN,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,XU HƯỚNG TỐT,29.02,27.695,1.011,3.369,26.6,30.45,28.737,27.978,27.418,26.467,,28.737,Hard Stop,GIỮ / THEO DÕI,KHÔNG,Không mua thêm vì Quyết định cuối không ủng hộ,THEO DÕI VỊ THẾ,THEO DÕI VỊ THẾ,"Theo dõi vị thế, chưa hành động mạnh",Chưa có tín hiệu hành động mạnh,1,2026-05-19 13:02:11
