Ngày tín hiệu,Exposure,Lợi nhuận danh mục exit sau phí %,Win danh mục,Danh mục,Equity giả lập,Drawdown giả lập %
2024-11-19 07:00:00,0.2,0.934,1,VIX-BOTTOM,113.6381,-8.354
2024-11-20 07:00:00,0.2,0.614,1,VIX-BOTTOM,114.3358,-7.791
2024-11-21 07:00:00,0.2,0.092,1,VIX-BOTTOM,114.441,-7.706
2024-11-22 07:00:00,0.2,0.506,1,VIX-BOTTOM,115.0201,-7.239
2024-11-25 07:00:00,0.2,0.27,1,VIX-BOTTOM,115.3307,-6.989
2024-11-26 07:00:00,0.2,-0.654,0,"VIX-BOTTOM, PDR-MOMENTUM",114.5764,-7.597
2024-11-27 07:00:00,0.2,-0.916,0,"VIX-BOTTOM, PDR-MOMENTUM",113.5269,-8.444
2024-11-28 07:00:00,0.2,0.496,1,"VIX-BOTTOM, PDR-MOMENTUM",114.09,-7.989
2024-11-29 07:00:00,0.2,0.366,1,"VIX-BOTTOM, PDR-MOMENTUM",114.5075,-7.653
2024-12-20 07:00:00,0.2,-0.094,0,CTR-MOMENTUM,114.3999,-7.74
2024-12-31 07:00:00,0.2,-0.59,0,VIX-BOTTOM,113.7249,-8.284
2025-01-06 07:00:00,0.2,-1.148,0,VIX-BOTTOM,112.4194,-9.337
2025-01-07 07:00:00,0.2,-1.132,0,VIX-BOTTOM,111.1468,-10.363
2025-01-08 07:00:00,0.2,-0.962,0,VIX-BOTTOM,110.0776,-11.225
2025-01-09 07:00:00,0.2,-0.17,0,"VIX-BOTTOM, CTR-MOMENTUM",109.8904,-11.376
2025-01-10 07:00:00,0.2,0.436,1,VIX-BOTTOM,110.3695,-10.99
2025-01-13 07:00:00,0.2,0.714,1,VIX-BOTTOM,111.1576,-10.354
2025-01-14 07:00:00,0.2,1.026,1,VIX-BOTTOM,112.2981,-9.435
2025-01-15 07:00:00,0.2,0.218,1,VIX-BOTTOM,112.5429,-9.237
2025-01-16 07:00:00,0.2,0.356,1,"VIX-BOTTOM, CTR-MOMENTUM",112.9435,-8.914
2025-01-17 07:00:00,0.2,0.708,1,VIX-BOTTOM,113.7432,-8.269
2025-01-20 07:00:00,0.2,0.494,1,VIX-BOTTOM,114.3051,-7.816
2025-01-22 07:00:00,0.2,1.03,1,VIX-BOTTOM,115.4824,-6.866
2025-02-05 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,115.2976,-7.016
2025-02-06 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,115.1132,-7.164
2025-02-07 07:00:00,0.2,-0.08,0,"ABB-MOMENTUM, PDR-MOMENTUM",115.0211,-7.239
2025-02-10 07:00:00,0.2,1.174,1,ABB-MOMENTUM,116.3714,-6.15
2025-02-11 07:00:00,0.2,0.63,1,ABB-MOMENTUM,117.1045,-5.558
2025-02-12 07:00:00,0.2,0.82,1,TVS-MOMENTUM,118.0648,-4.784
2025-02-13 07:00:00,0.2,1.086,1,TVS-MOMENTUM,119.347,-3.75
2025-02-14 07:00:00,0.2,0.548,1,"ABB-MOMENTUM, TVS-MOMENTUM",120.001,-3.222
2025-02-17 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.809,-3.377
2025-02-18 07:00:00,0.2,0.094,1,ABB-MOMENTUM,119.9216,-3.286
2025-02-19 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.7298,-3.441
2025-02-20 07:00:00,0.2,-0.08,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.634,-3.518
2025-02-21 07:00:00,0.2,-0.146,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.4593,-3.659
2025-02-24 07:00:00,0.2,0.622,1,PDR-MOMENTUM,120.2023,-3.06
2025-02-25 07:00:00,0.2,-0.202,0,"PDR-MOMENTUM, ABB-MOMENTUM",119.9595,-3.256
2025-02-27 07:00:00,0.2,0.036,1,PDR-MOMENTUM,120.0027,-3.221
2025-03-11 07:00:00,0.2,0.802,1,ABB-MOMENTUM,120.9651,-2.445
2025-03-17 07:00:00,0.2,-0.864,0,ABB-MOMENTUM,119.92,-3.288
2025-03-19 07:00:00,0.2,-1.138,0,ABB-MOMENTUM,118.5553,-4.388
2025-03-20 07:00:00,0.2,-0.758,0,PDR-MOMENTUM,117.6567,-5.113
2025-03-21 07:00:00,0.2,-1.14,0,PDR-MOMENTUM,116.3154,-6.195
2025-04-08 07:00:00,0.2,2.356,1,VIX-BOTTOM,119.0558,-3.985
2025-04-10 07:00:00,0.2,2.368,1,VIX-BOTTOM,121.875,-1.711
2025-05-07 07:00:00,0.2,0.988,1,VIX-BOTTOM,123.0791,-0.74
2025-05-09 07:00:00,0.2,-0.342,0,PDR-MOMENTUM,122.6582,-1.079
2025-05-12 07:00:00,0.2,0.022,1,PDR-MOMENTUM,122.6852,-1.058
2025-05-13 07:00:00,0.2,0.024,1,PDR-MOMENTUM,122.7146,-1.034
2025-05-14 07:00:00,0.2,-0.212,0,PDR-MOMENTUM,122.4545,-1.244
2025-05-15 07:00:00,0.2,-0.666,0,ABB-MOMENTUM,121.6389,-1.901
2025-05-16 07:00:00,0.2,-0.416,0,ABB-MOMENTUM,121.1329,-2.31
2025-05-19 07:00:00,0.2,0.1,1,ABB-MOMENTUM,121.254,-2.212
2025-05-20 07:00:00,0.2,-0.098,0,CTR-MOMENTUM,121.1352,-2.308
2025-05-21 07:00:00,0.2,1.15,1,ABB-MOMENTUM,122.5283,-1.184
2025-05-27 07:00:00,0.2,-0.3,0,"CTR-MOMENTUM, ABB-MOMENTUM",122.1607,-1.481
2025-05-28 07:00:00,0.2,-0.4,0,ABB-MOMENTUM,121.672,-1.875
2025-05-29 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,121.4774,-2.032
2025-05-30 07:00:00,0.2,0.25,1,"PDR-MOMENTUM, ABB-MOMENTUM",121.7811,-1.787
2025-06-02 07:00:00,0.2,-0.588,0,"ABB-MOMENTUM, TVS-MOMENTUM",121.065,-2.364
2025-06-03 07:00:00,0.2,-0.404,0,ABB-MOMENTUM,120.5759,-2.759
2025-06-04 07:00:00,0.2,-0.47,0,"ANV-MOMENTUM, TVS-MOMENTUM",120.0092,-3.216
2025-06-05 07:00:00,0.2,-0.286,0,ANV-MOMENTUM,119.666,-3.493
2025-06-06 07:00:00,0.2,-0.16,0,ANV-MOMENTUM,119.4745,-3.647
2025-06-11 07:00:00,0.2,0.078,1,ABB-MOMENTUM,119.5677,-3.572
2025-06-12 07:00:00,0.2,-0.16,0,ABB-MOMENTUM,119.3764,-3.726
2025-06-13 07:00:00,0.2,0.354,1,"VIX-BOTTOM, ABB-MOMENTUM",119.799,-3.385
2025-06-16 07:00:00,0.2,1.11,1,ANV-MOMENTUM,121.1287,-2.313
2025-06-17 07:00:00,0.2,1.068,1,"VIX-BOTTOM, ANV-MOMENTUM",122.4224,-1.27
2025-06-18 07:00:00,0.2,1.034,1,"VIX-BOTTOM, ANV-MOMENTUM",123.6882,-0.249
2025-06-19 07:00:00,0.2,1.568,1,"VIX-BOTTOM, ANV-MOMENTUM",125.6277,0.0
2025-06-20 07:00:00,0.2,0.46,1,"VIX-BOTTOM, CTR-MOMENTUM, ANV-MOMENTUM, ABB-MOMENTUM, PDR-MOMENTUM",126.2056,0.0
2025-06-23 07:00:00,0.2,1.182,1,"VIX-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM, CTR-BOTTOM",127.6973,0.0
2025-06-24 07:00:00,0.2,1.67,1,"VIX-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",129.8298,0.0
2025-06-25 07:00:00,0.2,2.974,1,"ANV-MOMENTUM, CTR-BOTTOM",133.691,0.0
2025-06-26 07:00:00,0.2,2.094,1,"ANV-MOMENTUM, CTR-BOTTOM",136.4905,0.0
2025-06-30 07:00:00,0.2,0.24,1,"PDR-MOMENTUM, CTR-BOTTOM",136.8181,0.0
2025-07-01 07:00:00,0.2,0.114,1,CTR-BOTTOM,136.974,0.0
2025-07-02 07:00:00,0.2,0.628,1,"CTR-MOMENTUM, PDR-MOMENTUM, CTR-BOTTOM",137.8342,0.0
2025-07-03 07:00:00,0.2,0.22,1,CTR-BOTTOM,138.1375,0.0
2025-07-04 07:00:00,0.2,-0.178,0,CTR-BOTTOM,137.8916,-0.178
2025-07-07 07:00:00,0.2,-0.14,0,CTR-BOTTOM,137.6985,-0.318
2025-07-08 07:00:00,0.2,-0.526,0,"CTR-MOMENTUM, CTR-BOTTOM",136.9742,-0.842
2025-07-09 07:00:00,0.2,-0.126,0,"ABB-MOMENTUM, CTR-BOTTOM",136.8016,-0.967
2025-07-10 07:00:00,0.2,-0.006,0,"CTR-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",136.7934,-0.973
2025-07-11 07:00:00,0.2,-0.116,0,"ABB-MOMENTUM, CTR-BOTTOM",136.6348,-1.088
2025-07-14 07:00:00,0.2,-0.67,0,"CTR-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",135.7193,-1.751
2025-07-15 07:00:00,0.2,-0.248,0,"ABB-MOMENTUM, CTR-BOTTOM",135.3827,-1.994
2025-07-16 07:00:00,0.2,0.506,1,"ABB-MOMENTUM, CTR-BOTTOM",136.0678,-1.498
2025-07-17 07:00:00,0.2,0.958,1,"ANV-MOMENTUM, ABB-MOMENTUM",137.3713,-0.555
2025-07-18 07:00:00,0.2,1.742,1,"ANV-MOMENTUM, ABB-MOMENTUM",139.7643,0.0
2025-07-21 07:00:00,0.2,1.17,1,ANV-MOMENTUM,141.3995,0.0
2025-07-22 07:00:00,0.2,1.412,1,"ANV-MOMENTUM, ABB-MOMENTUM",143.3961,0.0
2025-07-23 07:00:00,0.2,-1.34,0,ANV-MOMENTUM,141.4746,-1.34
2025-07-25 07:00:00,0.2,-1.506,0,ANV-MOMENTUM,139.344,-2.826
2025-07-28 07:00:00,0.2,-0.442,0,ANV-MOMENTUM,138.7281,-3.255
2025-07-31 07:00:00,0.2,3.55,1,ANV-MOMENTUM,143.6529,0.0
2025-08-05 07:00:00,0.2,2.144,1,ANV-MOMENTUM,146.7328,0.0
2025-08-06 07:00:00,0.2,1.42,1,"VHM-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM",148.8164,0.0
2025-08-07 07:00:00,0.2,-0.652,0,"VHM-BOTTOM, ANV-MOMENTUM",147.8462,-0.652
2025-08-08 07:00:00,0.2,-0.534,0,"VHM-BOTTOM, ANV-MOMENTUM",147.0567,-1.183
2025-08-11 07:00:00,0.2,0.09,1,"VHM-BOTTOM, ANV-MOMENTUM",147.189,-1.094
2025-08-12 07:00:00,0.2,0.124,1,"VHM-BOTTOM, ANV-MOMENTUM",147.3715,-0.971
2025-08-13 07:00:00,0.2,0.542,1,"VHM-BOTTOM, ANV-MOMENTUM",148.1703,-0.434
2025-08-14 07:00:00,0.2,1.096,1,VHM-BOTTOM,149.7942,0.0
2025-08-15 07:00:00,0.2,1.472,1,"VHM-BOTTOM, TVS-MOMENTUM",151.9992,0.0
2025-08-18 07:00:00,0.2,-0.454,0,"VHM-BOTTOM, ANV-MOMENTUM",151.3091,-0.454
2025-08-19 07:00:00,0.2,0.736,1,"VHM-BOTTOM, ANV-MOMENTUM",152.4228,0.0
2025-08-20 07:00:00,0.2,-0.494,0,ANV-MOMENTUM,151.6698,-0.494
2025-08-25 07:00:00,0.2,0.714,1,VHM-BOTTOM,152.7527,0.0
2025-08-29 07:00:00,0.2,0.54,1,ANV-MOMENTUM,153.5776,0.0
2025-09-03 07:00:00,0.2,0.44,1,ANV-MOMENTUM,154.2533,0.0
2025-09-04 07:00:00,0.2,0.388,1,ANV-MOMENTUM,154.8518,0.0
2025-09-05 07:00:00,0.2,0.716,1,ANV-MOMENTUM,155.9606,0.0
2025-09-09 07:00:00,0.2,0.054,1,ANV-MOMENTUM,156.0448,0.0
2025-09-10 07:00:00,0.2,0.236,1,ANV-MOMENTUM,156.413,0.0
2025-09-11 07:00:00,0.2,-0.62,0,ANV-MOMENTUM,155.4433,-0.62
2025-09-12 07:00:00,0.2,-0.898,0,ANV-MOMENTUM,154.0474,-1.512
2025-09-15 07:00:00,0.2,-1.554,0,"ANV-MOMENTUM, CTR-BOTTOM",151.6535,-3.043
2025-09-16 07:00:00,0.2,-0.602,0,"ANV-MOMENTUM, CTR-BOTTOM",150.7406,-3.627
2025-09-17 07:00:00,0.2,-0.65,0,"VHM-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",149.7607,-4.253
2025-09-18 07:00:00,0.2,-0.6,0,"VHM-BOTTOM, CTR-BOTTOM",148.8622,-4.828
2025-09-19 07:00:00,0.2,-0.212,0,"VIX-BOTTOM, VHM-BOTTOM, CTR-MOMENTUM, CTR-BOTTOM",148.5466,-5.029
2025-09-22 07:00:00,0.2,0.322,1,VHM-BOTTOM,149.0249,-4.723
2025-09-23 07:00:00,0.2,0.712,1,VHM-BOTTOM,150.086,-4.045
2025-09-24 07:00:00,0.2,0.494,1,VHM-BOTTOM,150.8274,-3.571
2025-09-25 07:00:00,0.2,-1.016,0,"VHM-BOTTOM, PDR-MOMENTUM",149.295,-4.551
2025-09-26 07:00:00,0.2,-0.684,0,"VHM-BOTTOM, CTR-BOTTOM",148.2738,-5.204
2025-09-29 07:00:00,0.2,-0.608,0,"VHM-BOTTOM, CTR-BOTTOM",147.3723,-5.78
2025-09-30 07:00:00,0.2,0.3,1,"VHM-BOTTOM, ANV-MOMENTUM",147.8144,-5.497
2025-10-01 07:00:00,0.2,1.62,1,"VHM-BOTTOM, ANV-MOMENTUM",150.209,-3.966
2025-10-02 07:00:00,0.2,2.838,1,"VHM-BOTTOM, ANV-MOMENTUM",154.4719,-1.241
2025-10-03 07:00:00,0.2,2.198,1,"VHM-BOTTOM, VIX-BOTTOM, ANV-MOMENTUM",157.8672,0.0
2025-10-06 07:00:00,0.2,2.486,1,"VHM-BOTTOM, ANV-MOMENTUM",161.7918,0.0
2025-10-07 07:00:00,0.2,2.702,1,"VHM-BOTTOM, ANV-MOMENTUM",166.1634,0.0
2025-10-08 07:00:00,0.2,1.096,1,"VHM-BOTTOM, ANV-MOMENTUM",167.9846,0.0
2025-10-09 07:00:00,0.2,-1.448,0,ANV-MOMENTUM,165.5522,-1.448
2025-10-10 07:00:00,0.2,-0.024,0,"ANV-MOMENTUM, ABB-MOMENTUM",165.5124,-1.472
2025-10-13 07:00:00,0.2,-1.692,0,"GVR-BOTTOM, ANV-MOMENTUM, ABB-MOMENTUM",162.712,-3.139
2025-10-14 07:00:00,0.2,-1.292,0,"GVR-BOTTOM, ANV-MOMENTUM",160.6097,-4.39
2025-10-15 07:00:00,0.2,-0.11,0,"GVR-BOTTOM, ABB-MOMENTUM",160.4331,-4.495
2025-10-16 07:00:00,0.2,-0.176,0,"GVR-BOTTOM, ABB-MOMENTUM",160.1507,-4.663
2025-10-17 07:00:00,0.2,-0.288,0,"GVR-BOTTOM, ABB-MOMENTUM",159.6895,-4.938
2025-10-20 07:00:00,0.2,-0.438,0,VHM-BOTTOM,158.99,-5.354
2025-10-21 07:00:00,0.2,-0.638,0,"VHM-BOTTOM, VIX-BOTTOM, CTR-BOTTOM",157.9757,-5.958
2025-10-22 07:00:00,0.2,0.748,1,"GVR-BOTTOM, ABB-MOMENTUM, CTR-BOTTOM",159.1573,-5.255
2025-10-23 07:00:00,0.2,0.16,1,"GVR-BOTTOM, VIX-BOTTOM, ANV-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",159.412,-5.103
2025-10-24 07:00:00,0.2,0.35,1,"GVR-BOTTOM, ABB-MOMENTUM, CTR-BOTTOM",159.9699,-4.771
2025-10-27 07:00:00,0.2,-0.516,0,"GVR-BOTTOM, VHM-BOTTOM, CTR-BOTTOM",159.1445,-5.262
2025-10-28 07:00:00,0.2,-0.918,0,"GVR-BOTTOM, VHM-BOTTOM, VIX-BOTTOM, CTR-BOTTOM",157.6835,-6.132
2025-10-29 07:00:00,0.2,-0.298,0,"GVR-BOTTOM, VHM-BOTTOM, CTR-BOTTOM",157.2136,-6.412
2025-10-30 07:00:00,0.2,0.09,1,GVR-BOTTOM,157.3551,-6.328
2025-10-31 07:00:00,0.2,-0.746,0,CTR-BOTTOM,156.1813,-7.026
2025-11-03 07:00:00,0.2,-0.612,0,"GVR-BOTTOM, CTR-BOTTOM",155.2254,-7.595
2025-11-04 07:00:00,0.2,-0.49,0,"GVR-BOTTOM, CTR-BOTTOM",154.4648,-8.048
2025-11-05 07:00:00,0.2,0.038,1,CTR-BOTTOM,154.5235,-8.013
2025-11-06 07:00:00,0.2,0.314,1,"GVR-BOTTOM, CTR-BOTTOM",155.0087,-7.724
2025-11-07 07:00:00,0.2,0.58,1,CTR-BOTTOM,155.9078,-7.189
2025-11-10 07:00:00,0.2,0.64,1,VOS-BOTTOM,156.9056,-6.595
2025-11-11 07:00:00,0.2,0.614,1,"VOS-BOTTOM, GVR-BOTTOM, CTR-BOTTOM",157.869,-6.022
2025-11-12 07:00:00,0.2,0.184,1,"VOS-BOTTOM, CTR-MOMENTUM, CTR-BOTTOM",158.1595,-5.849
2025-11-13 07:00:00,0.2,-0.194,0,"VOS-BOTTOM, CTR-BOTTOM",157.8526,-6.031
2025-11-14 07:00:00,0.2,-0.466,0,"VOS-BOTTOM, GVR-BOTTOM, CTR-BOTTOM",157.117,-6.469
2025-11-17 07:00:00,0.2,0.114,1,"VHM-BOTTOM, VOS-BOTTOM, CTR-BOTTOM",157.2961,-6.363
2025-11-18 07:00:00,0.2,-0.606,0,"VHM-BOTTOM, VOS-BOTTOM, GVR-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM",156.3429,-6.93
2025-11-19 07:00:00,0.2,-0.13,0,"VHM-BOTTOM, VOS-BOTTOM, GVR-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM",156.1397,-7.051
2025-11-20 07:00:00,0.2,-0.184,0,"VHM-BOTTOM, GVR-BOTTOM, VOS-BOTTOM, ANV-MOMENTUM, PDR-MOMENTUM",155.8524,-7.222
2025-11-21 07:00:00,0.2,-0.426,0,"VHM-BOTTOM, VOS-BOTTOM, GVR-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",155.1885,-7.617
2025-11-24 07:00:00,0.2,-0.336,0,"VHM-BOTTOM, VOS-BOTTOM, GVR-BOTTOM, ANV-MOMENTUM",154.667,-7.928
2025-11-25 07:00:00,0.2,0.172,1,"VHM-BOTTOM, VOS-BOTTOM",154.9331,-7.769
2025-11-26 07:00:00,0.2,0.27,1,"VHM-BOTTOM, GVR-BOTTOM, VOS-BOTTOM, ABB-MOMENTUM",155.3514,-7.52
2025-11-27 07:00:00,0.2,0.444,1,"VOS-BOTTOM, GVR-BOTTOM",156.0411,-7.11
2025-11-28 07:00:00,0.2,0.732,1,"VOS-BOTTOM, GVR-BOTTOM",157.1834,-6.43
2025-12-01 07:00:00,0.2,0.602,1,"VOS-BOTTOM, GVR-BOTTOM",158.1296,-5.867
2025-12-02 07:00:00,0.2,0.282,1,"VOS-BOTTOM, GVR-BOTTOM, ABB-MOMENTUM",158.5755,-5.601
2025-12-03 07:00:00,0.2,-0.112,0,"VOS-BOTTOM, GVR-BOTTOM",158.3979,-5.707
2025-12-04 07:00:00,0.2,-0.7,0,"GVR-BOTTOM, ABB-MOMENTUM, PDR-MOMENTUM",157.2891,-6.367
2025-12-05 07:00:00,0.2,-2.288,0,VIX-BOTTOM,153.6904,-8.509
2025-12-08 07:00:00,0.2,-1.602,0,"GVR-BOTTOM, VIX-BOTTOM, VOS-BOTTOM",151.2282,-9.975
2025-12-09 07:00:00,0.2,-0.61,0,"GVR-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, ABB-MOMENTUM",150.3057,-10.524
2025-12-10 07:00:00,0.2,-0.77,0,"GVR-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, ABB-MOMENTUM",149.1484,-11.213
2025-12-11 07:00:00,0.2,-0.782,0,"GVR-BOTTOM, VOS-BOTTOM, VHM-BOTTOM, ABB-MOMENTUM",147.9821,-11.907
2025-12-12 07:00:00,0.2,0.19,1,"VIX-BOTTOM, VOS-BOTTOM",148.2632,-11.74
2025-12-15 07:00:00,0.2,0.556,1,"GVR-BOTTOM, VOS-BOTTOM",149.0876,-11.249
2025-12-16 07:00:00,0.2,1.14,1,"VHM-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, GVR-BOTTOM",150.7872,-10.238
2025-12-17 07:00:00,0.2,1.616,1,"VHM-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, GVR-BOTTOM",153.2239,-8.787
2025-12-18 07:00:00,0.2,0.938,1,"VHM-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, GVR-BOTTOM",154.6611,-7.931
2025-12-19 07:00:00,0.2,0.098,1,"VHM-BOTTOM, VIX-BOTTOM, VOS-BOTTOM, GVR-BOTTOM, ABB-MOMENTUM",154.8127,-7.841
2025-12-22 07:00:00,0.2,0.038,1,"VHM-BOTTOM, GVR-BOTTOM, VOS-BOTTOM, ABB-MOMENTUM",154.8715,-7.806
2025-12-23 07:00:00,0.2,-0.79,0,VOS-BOTTOM,153.648,-8.534
2025-12-24 07:00:00,0.2,-1.094,0,VIX-BOTTOM,151.9671,-9.535
2025-12-25 07:00:00,0.2,-1.902,0,VIX-BOTTOM,149.0767,-11.256
2025-12-26 07:00:00,0.2,2.898,1,"VHM-BOTTOM, TVS-MOMENTUM",153.3969,-8.684
2025-12-29 07:00:00,0.2,1.44,1,"GVR-BOTTOM, TVS-MOMENTUM",155.6059,-7.369
2025-12-30 07:00:00,0.2,1.652,1,"GVR-BOTTOM, CTR-BOTTOM",158.1765,-5.839
2025-12-31 07:00:00,0.2,2.87,1,"GVR-BOTTOM, CTR-MOMENTUM, CTR-BOTTOM",162.7161,-3.136
2026-01-05 07:00:00,0.2,3.482,1,"GVR-BOTTOM, VOS-BOTTOM, CTR-BOTTOM",168.3819,0.0
2026-01-06 07:00:00,0.2,2.094,1,"VOS-BOTTOM, CTR-MOMENTUM, ABB-MOMENTUM, CTR-BOTTOM",171.9078,0.0
2026-01-07 07:00:00,0.2,2.83,1,"VOS-BOTTOM, CTR-BOTTOM",176.7728,0.0
2026-01-08 07:00:00,0.2,2.394,1,"VOS-BOTTOM, CTR-BOTTOM",181.0048,0.0
2026-01-14 07:00:00,0.2,-1.144,0,"VHM-BOTTOM, ABB-MOMENTUM",178.9341,-1.144
2026-01-15 07:00:00,0.2,-0.78,0,"VHM-BOTTOM, ABB-MOMENTUM",177.5384,-1.915
2026-01-16 07:00:00,0.2,0.312,1,"VOS-BOTTOM, VHM-BOTTOM",178.0923,-1.609
2026-01-19 07:00:00,0.2,-0.544,0,"VOS-BOTTOM, VHM-BOTTOM, ANV-MOMENTUM",177.1235,-2.144
2026-01-20 07:00:00,0.2,-1.28,0,"VHM-BOTTOM, ANV-MOMENTUM",174.8563,-3.397
2026-01-21 07:00:00,0.2,-2.01,0,"VOS-BOTTOM, VHM-BOTTOM",171.3417,-5.339
2026-01-22 07:00:00,0.2,-0.674,0,"VHM-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",170.1868,-5.977
2026-01-23 07:00:00,0.2,-0.6,0,"VHM-BOTTOM, ANV-MOMENTUM, CTR-BOTTOM",169.1657,-6.541
2026-01-26 07:00:00,0.2,0.576,1,"VOS-BOTTOM, CTR-BOTTOM",170.1401,-6.002
