Ngày tín hiệu,Exposure,Lợi nhuận danh mục exit sau phí %,Win danh mục,Danh mục,Equity giả lập,Drawdown giả lập %
2024-01-08 07:00:00,0.2,-0.828,0,CTR-MOMENTUM,99.172,-0.828
2024-01-09 07:00:00,0.2,-0.334,0,CTR-MOMENTUM,98.8408,-1.159
2024-01-11 07:00:00,0.2,-0.194,0,CTR-MOMENTUM,98.649,-1.351
2024-01-23 07:00:00,0.2,0.314,1,PDR-MOMENTUM,98.9588,-1.041
2024-01-25 07:00:00,0.2,0.472,1,CTR-MOMENTUM,99.4259,-0.574
2024-01-26 07:00:00,0.2,0.536,1,PDR-MOMENTUM,99.9588,-0.041
2024-01-29 07:00:00,0.2,0.9,1,PDR-MOMENTUM,100.8584,0.0
2024-01-30 07:00:00,0.2,0.764,1,"CTR-MOMENTUM, PDR-MOMENTUM",101.629,0.0
2024-01-31 07:00:00,0.2,1.3,1,PDR-MOMENTUM,102.9501,0.0
2024-02-01 07:00:00,0.2,0.864,1,PDR-MOMENTUM,103.8396,0.0
2024-02-15 07:00:00,0.2,0.594,1,CTR-MOMENTUM,104.4564,0.0
2024-02-19 07:00:00,0.2,0.784,1,CTR-MOMENTUM,105.2754,0.0
2024-02-20 07:00:00,0.2,0.912,1,CTR-MOMENTUM,106.2355,0.0
2024-02-23 07:00:00,0.2,1.226,1,CTR-MOMENTUM,107.5379,0.0
2024-03-04 07:00:00,0.2,1.452,1,CTR-MOMENTUM,109.0994,0.0
2024-03-05 07:00:00,0.2,2.514,1,CTR-MOMENTUM,111.8421,0.0
2024-03-08 07:00:00,0.2,2.368,1,CTR-MOMENTUM,114.4906,0.0
2024-03-20 07:00:00,0.2,2.17,1,PDR-MOMENTUM,116.975,0.0
2024-05-02 07:00:00,0.2,-0.328,0,TVS-MOMENTUM,116.5913,-0.328
2024-05-03 07:00:00,0.2,-0.036,0,TVS-MOMENTUM,116.5494,-0.364
2024-05-07 07:00:00,0.2,-0.448,0,TVS-MOMENTUM,116.0272,-0.81
2024-05-08 07:00:00,0.2,0.212,1,TVS-MOMENTUM,116.2732,-0.6
2024-06-06 07:00:00,0.2,0.268,1,PDR-MOMENTUM,116.5848,-0.334
2024-06-07 07:00:00,0.2,2.622,1,CTR-MOMENTUM,119.6417,0.0
2024-06-12 07:00:00,0.2,3.64,1,CTR-MOMENTUM,123.9966,0.0
2024-08-23 07:00:00,0.2,-0.238,0,CTR-MOMENTUM,123.7015,-0.238
2024-09-04 07:00:00,0.2,-0.82,0,CTR-MOMENTUM,122.6872,-1.056
2024-09-20 07:00:00,0.2,0.386,1,PDR-MOMENTUM,123.1607,-0.674
2024-09-23 07:00:00,0.2,0.112,1,PDR-MOMENTUM,123.2987,-0.563
2024-09-27 07:00:00,0.2,-0.404,0,ABB-MOMENTUM,122.8005,-0.965
2024-09-30 07:00:00,0.2,-0.674,0,ABB-MOMENTUM,121.9729,-1.632
2024-10-01 07:00:00,0.2,-0.434,0,ABB-MOMENTUM,121.4435,-2.059
2024-10-02 07:00:00,0.2,-0.68,0,ABB-MOMENTUM,120.6177,-2.725
2024-10-03 07:00:00,0.2,-0.434,0,ABB-MOMENTUM,120.0942,-3.147
2024-10-04 07:00:00,0.2,1.028,1,CTR-MOMENTUM,121.3288,-2.152
2024-10-07 07:00:00,0.2,0.716,1,CTR-MOMENTUM,122.1975,-1.451
2024-10-16 07:00:00,0.2,-1.226,0,CTR-MOMENTUM,120.6994,-2.659
2024-10-25 07:00:00,0.2,-0.848,0,PDR-MOMENTUM,119.6758,-3.485
2024-10-28 07:00:00,0.2,-0.77,0,PDR-MOMENTUM,118.7543,-4.228
2024-10-29 07:00:00,0.2,-0.16,0,PDR-MOMENTUM,118.5643,-4.381
2024-11-06 07:00:00,0.2,-0.352,0,PDR-MOMENTUM,118.147,-4.718
2024-11-11 07:00:00,0.2,-1.3,0,VIX-BOTTOM,116.6111,-5.956
2024-11-12 07:00:00,0.2,-1.742,0,VIX-BOTTOM,114.5797,-7.595
2024-11-13 07:00:00,0.2,-1.094,0,VIX-BOTTOM,113.3262,-8.605
2024-11-14 07:00:00,0.2,-0.26,0,VIX-BOTTOM,113.0315,-8.843
2024-11-15 07:00:00,0.2,-0.108,0,VIX-BOTTOM,112.9095,-8.942
2024-11-18 07:00:00,0.2,-0.286,0,VIX-BOTTOM,112.5865,-9.202
