Mã,Chiến lược,Trạng thái,Tổng số mẫu,Chi phí giả lập %,Lợi nhuận TB T+5 gốc %,Lợi nhuận TB T+5 sau phí %,Winrate T+5 sau phí %,Lợi nhuận TB delay-entry sau phí %,Winrate delay-entry sau phí %,Regime hiện tại,Regime gộp tốt nhất,Số mẫu regime tốt nhất,Lợi nhuận TB regime tốt nhất sau phí %,Winrate regime tốt nhất sau phí %,Số regime gộp có lợi nhuận dương,Kết luận V15.3,Điểm regime-aware gốc,Hệ số regime,Điểm V15.3 cuối cùng,Phương pháp match,Ngày hiện tại,Giá hiện tại,RSI hiện tại,Ret5 hiện tại %,Dist MA20 hiện tại %,Drawdown20 hiện tại %,Chi tiết theo regime gộp
VCI,MOMENTUM,OK,80,0.8,0.45,-0.35,38.8,-0.47,36.2,SIDEWAY,RISK ON,68,-0.23,38.2,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,24.65,36.0,-1.4,-3.15,-7.85,"RISK ON: n=68, TB sau phí=-0.23%, Win=38.2% | SIDEWAY: n=11, TB sau phí=-0.79%, Win=45.5% | RISK OFF: n=1, TB sau phí=-4.05%, Win=0.0%"
VND,MOMENTUM,OK,80,0.8,0.41,-0.39,46.2,-0.45,42.5,SIDEWAY,RISK ON,73,0.2,47.9,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,16.85,61.03,-0.65,3.08,-5.76,"RISK ON: n=73, TB sau phí=0.20%, Win=47.9% | SIDEWAY: n=7, TB sau phí=-6.51%, Win=28.6%"
BCM,MOMENTUM,OK,80,0.8,0.31,-0.49,35.0,-0.6,33.8,SIDEWAY,RISK ON,64,-0.18,39.1,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,55.1,60.99,1.85,2.22,-3.67,"RISK ON: n=64, TB sau phí=-0.18%, Win=39.1% | RISK OFF: n=5, TB sau phí=-1.17%, Win=20.0% | SIDEWAY: n=11, TB sau phí=-1.98%, Win=18.2%"
TPB,MOMENTUM,OK,80,0.8,0.24,-0.56,26.2,-0.4,31.2,SIDEWAY,SIDEWAY,13,-0.11,46.2,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,15.9,53.19,2.25,0.47,-3.34,"SIDEWAY: n=13, TB sau phí=-0.11%, Win=46.2% | RISK ON: n=59, TB sau phí=-0.57%, Win=20.3% | RISK OFF: n=8, TB sau phí=-1.22%, Win=37.5%"
GAS,MOMENTUM,OK,80,0.8,0.22,-0.58,33.8,-0.77,30.0,SIDEWAY,RISK ON,60,-0.56,26.7,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,87.4,65.61,2.94,6.23,-8.48,"RISK ON: n=60, TB sau phí=-0.56%, Win=26.7% | RISK OFF: n=16, TB sau phí=-0.63%, Win=56.2% | SIDEWAY: n=4, TB sau phí=-0.64%, Win=50.0%"
LCG,MOMENTUM,OK,80,0.8,0.14,-0.66,37.5,-0.48,37.5,SIDEWAY,RISK ON,73,-0.24,41.1,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,9.13,11.11,-0.87,-3.39,-10.05,"RISK ON: n=73, TB sau phí=-0.24%, Win=41.1% | RISK OFF: n=1, TB sau phí=-4.14%, Win=0.0% | SIDEWAY: n=6, TB sau phí=-5.23%, Win=0.0%"
VIB,MOMENTUM,OK,80,0.8,0.03,-0.77,41.2,-0.94,37.5,SIDEWAY,SIDEWAY,10,1.18,60.0,2,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,16.1,52.83,2.55,0.33,-5.01,"SIDEWAY: n=10, TB sau phí=1.18%, Win=60.0% | RISK OFF: n=9, TB sau phí=0.59%, Win=66.7% | RISK ON: n=61, TB sau phí=-1.28%, Win=34.4%"
MBS,MOMENTUM,OK,80,0.8,-0.13,-0.93,42.5,-1.06,40.0,SIDEWAY,SIDEWAY,9,-0.7,55.6,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,19.9,55.88,1.02,1.27,-3.4,"SIDEWAY: n=9, TB sau phí=-0.70%, Win=55.6% | RISK ON: n=70, TB sau phí=-0.92%, Win=41.4% | RISK OFF: n=1, TB sau phí=-3.78%, Win=0.0%"
HSG,MOMENTUM,OK,80,0.8,-0.17,-0.97,37.5,-1.24,36.2,SIDEWAY,RISK ON,70,-0.86,40.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.45,58.97,-1.19,0.67,-4.23,"RISK ON: n=70, TB sau phí=-0.86%, Win=40.0% | RISK OFF: n=3, TB sau phí=-1.29%, Win=0.0% | SIDEWAY: n=7, TB sau phí=-1.95%, Win=28.6%"
VTO,MOMENTUM,OK,80,0.8,-0.36,-1.16,33.8,-1.17,30.0,SIDEWAY,RISK ON,53,-0.35,41.5,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.2,60.87,2.95,1.29,-1.21,"RISK ON: n=53, TB sau phí=-0.35%, Win=41.5% | SIDEWAY: n=12, TB sau phí=-0.75%, Win=33.3% | RISK OFF: n=15, TB sau phí=-4.37%, Win=6.7%"
PNJ,MOMENTUM,OK,80,0.8,-0.49,-1.29,38.8,-1.23,42.5,SIDEWAY,SIDEWAY,24,-1.06,50.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,65.8,33.66,0.46,-1.84,-6.27,"SIDEWAY: n=24, TB sau phí=-1.06%, Win=50.0% | RISK ON: n=53, TB sau phí=-1.17%, Win=35.8% | RISK OFF: n=3, TB sau phí=-5.32%, Win=0.0%"
APH,MOMENTUM,OK,80,0.8,-0.61,-1.41,33.8,-1.32,28.7,SIDEWAY,RISK ON,61,-0.88,42.6,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,5.55,33.33,0.18,-2.23,-8.72,"RISK ON: n=61, TB sau phí=-0.88%, Win=42.6% | SIDEWAY: n=12, TB sau phí=-3.07%, Win=8.3% | RISK OFF: n=7, TB sau phí=-3.21%, Win=0.0%"
IJC,MOMENTUM,OK,80,0.8,-0.71,-1.51,31.2,-1.55,30.0,SIDEWAY,RISK ON,66,-1.34,33.3,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,9.62,23.33,-1.13,-3.12,-7.05,"RISK ON: n=66, TB sau phí=-1.34%, Win=33.3% | SIDEWAY: n=10, TB sau phí=-2.07%, Win=30.0% | RISK OFF: n=4, TB sau phí=-2.94%, Win=0.0%"
KSB,MOMENTUM,OK,80,0.8,-0.75,-1.55,38.8,-1.29,36.2,SIDEWAY,RISK ON,62,-1.11,45.2,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,15.0,26.32,-2.91,-4.23,-7.98,"RISK ON: n=62, TB sau phí=-1.11%, Win=45.2% | RISK OFF: n=6, TB sau phí=-2.81%, Win=0.0% | SIDEWAY: n=12, TB sau phí=-3.17%, Win=25.0%"
VOS,MOMENTUM,OK,80,0.8,-0.76,-1.56,31.2,-1.0,35.0,SIDEWAY,RISK OFF,1,4.96,100.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.5,53.85,0.4,-0.64,-6.02,"RISK OFF: n=1, TB sau phí=4.96%, Win=100.0% | SIDEWAY: n=11, TB sau phí=-0.81%, Win=36.4% | RISK ON: n=68, TB sau phí=-1.77%, Win=29.4%"
DRC,MOMENTUM,OK,80,0.8,-0.83,-1.63,36.2,-1.33,40.0,SIDEWAY,RISK ON,73,-1.37,38.4,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.95,71.43,4.44,2.66,-1.89,"RISK ON: n=73, TB sau phí=-1.37%, Win=38.4% | SIDEWAY: n=6, TB sau phí=-3.61%, Win=16.7% | RISK OFF: n=1, TB sau phí=-9.19%, Win=0.0%"
VIX,MOMENTUM,OK,80,0.8,-0.87,-1.67,43.8,-1.43,45.0,SIDEWAY,RISK ON,71,-1.31,46.5,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,17.7,28.0,-4.58,-3.69,-10.83,"RISK ON: n=71, TB sau phí=-1.31%, Win=46.5% | SIDEWAY: n=7, TB sau phí=-4.28%, Win=28.6% | RISK OFF: n=2, TB sau phí=-5.34%, Win=0.0%"
MWG,MOMENTUM,OK,80,0.8,-0.88,-1.68,31.2,-1.57,31.2,SIDEWAY,RISK OFF,5,-1.36,40.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,76.3,28.05,-3.9,-6.27,-12.7,"RISK OFF: n=5, TB sau phí=-1.36%, Win=40.0% | RISK ON: n=61, TB sau phí=-1.56%, Win=36.1% | SIDEWAY: n=14, TB sau phí=-2.33%, Win=7.1%"
ELC,MOMENTUM,OK,80,0.8,-1.2,-2.0,26.2,-1.85,22.5,SIDEWAY,RISK ON,66,-1.8,30.3,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,16.0,38.71,-3.03,-3.67,-9.6,"RISK ON: n=66, TB sau phí=-1.80%, Win=30.3% | SIDEWAY: n=12, TB sau phí=-2.69%, Win=8.3% | RISK OFF: n=2, TB sau phí=-4.10%, Win=0.0%"
CSV,MOMENTUM,OK,80,0.8,-1.48,-2.28,23.8,-2.14,26.2,SIDEWAY,RISK ON,66,-1.97,25.8,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,24.7,32.31,-4.26,-4.73,-8.52,"RISK ON: n=66, TB sau phí=-1.97%, Win=25.8% | RISK OFF: n=5, TB sau phí=-3.23%, Win=0.0% | SIDEWAY: n=9, TB sau phí=-4.03%, Win=22.2%"
SHS,MOMENTUM,OK,71,0.8,-0.05,-0.85,46.5,-0.71,43.7,SIDEWAY,SIDEWAY,7,0.71,57.1,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,18.0,54.84,1.69,2.13,-3.74,"SIDEWAY: n=7, TB sau phí=0.71%, Win=57.1% | RISK OFF: n=5, TB sau phí=-0.02%, Win=60.0% | RISK ON: n=59, TB sau phí=-1.10%, Win=44.1%"
VPB,MOMENTUM,OK,66,0.8,-0.44,-1.24,28.8,-1.3,28.8,SIDEWAY,SIDEWAY,6,1.27,50.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,27.1,47.87,1.12,-0.74,-4.07,"SIDEWAY: n=6, TB sau phí=1.27%, Win=50.0% | RISK ON: n=58, TB sau phí=-1.49%, Win=25.9% | RISK OFF: n=2, TB sau phí=-1.58%, Win=50.0%"
BSR,MOMENTUM,OK,63,0.8,-0.96,-1.76,34.9,-1.53,34.9,SIDEWAY,RISK OFF,2,3.76,100.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,29.75,56.99,0.17,2.73,-12.37,"RISK OFF: n=2, TB sau phí=3.76%, Win=100.0% | RISK ON: n=52, TB sau phí=-1.45%, Win=36.5% | SIDEWAY: n=9, TB sau phí=-4.75%, Win=11.1%"
SSB,MOMENTUM,OK,62,0.8,-0.08,-0.88,25.8,-0.77,25.8,SIDEWAY,RISK OFF,12,-0.39,33.3,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,14.0,52.92,1.08,0.27,-6.35,"RISK OFF: n=12, TB sau phí=-0.39%, Win=33.3% | RISK ON: n=43, TB sau phí=-0.95%, Win=27.9% | SIDEWAY: n=7, TB sau phí=-1.29%, Win=0.0%"
KDC,MOMENTUM,OK,60,0.8,-0.78,-1.58,11.7,-1.55,8.3,SIDEWAY,RISK ON,35,-0.64,20.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,50.0,73.0,3.31,3.9,-1.96,"RISK ON: n=35, TB sau phí=-0.64%, Win=20.0% | SIDEWAY: n=11, TB sau phí=-2.86%, Win=0.0% | RISK OFF: n=14, TB sau phí=-2.92%, Win=0.0%"
OCB,MOMENTUM,OK,56,0.8,-0.49,-1.29,32.1,-1.13,30.4,SIDEWAY,RISK ON,48,-1.12,31.2,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,11.55,50.0,4.05,2.12,-4.55,"RISK ON: n=48, TB sau phí=-1.12%, Win=31.2% | SIDEWAY: n=5, TB sau phí=-1.87%, Win=60.0% | RISK OFF: n=3, TB sau phí=-3.12%, Win=0.0%"
ACB,MOMENTUM,OK,54,0.8,0.58,-0.22,35.2,-0.24,25.9,SIDEWAY,RISK ON,49,-0.04,36.7,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,24.9,71.29,8.97,6.91,-2.16,"RISK ON: n=49, TB sau phí=-0.04%, Win=36.7% | SIDEWAY: n=4, TB sau phí=-2.04%, Win=25.0% | RISK OFF: n=1, TB sau phí=-2.06%, Win=0.0%"
DHC,MOMENTUM,OK,50,0.8,0.21,-0.59,32.0,-0.4,28.0,SIDEWAY,RISK ON,36,-0.39,30.6,0,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,36.7,48.39,3.82,1.91,-2.13,"RISK ON: n=36, TB sau phí=-0.39%, Win=30.6% | SIDEWAY: n=13, TB sau phí=-0.77%, Win=38.5% | RISK OFF: n=1, TB sau phí=-5.72%, Win=0.0%"
PAN,MOMENTUM,OK,48,0.8,0.35,-0.45,39.6,-1.16,33.3,SIDEWAY,RISK ON,26,0.38,50.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,24.45,45.92,-1.05,-0.73,-4.86,"RISK ON: n=26, TB sau phí=0.38%, Win=50.0% | SIDEWAY: n=12, TB sau phí=-1.10%, Win=25.0% | RISK OFF: n=10, TB sau phí=-1.86%, Win=30.0%"
GVR,MOMENTUM,OK,37,0.8,0.16,-0.64,40.5,-1.19,45.9,SIDEWAY,RISK OFF,2,5.25,100.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,34.9,50.5,-1.13,-2.9,-12.75,"RISK OFF: n=2, TB sau phí=5.25%, Win=100.0% | SIDEWAY: n=8, TB sau phí=0.63%, Win=62.5% | RISK ON: n=27, TB sau phí=-1.46%, Win=29.6%"
VHM,MOMENTUM,OK,33,0.8,0.59,-0.21,36.4,-0.36,45.5,SIDEWAY,RISK OFF,3,1.53,66.7,2,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,156.0,45.7,1.43,0.11,-9.98,"RISK OFF: n=3, TB sau phí=1.53%, Win=66.7% | RISK ON: n=24, TB sau phí=0.01%, Win=37.5% | SIDEWAY: n=6, TB sau phí=-1.94%, Win=16.7%"
DPM,MOMENTUM,OK,32,0.8,0.21,-0.59,40.6,-0.6,43.8,SIDEWAY,RISK OFF,8,2.25,75.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,25.9,45.37,-2.08,-2.29,-8.96,"RISK OFF: n=8, TB sau phí=2.25%, Win=75.0% | SIDEWAY: n=4, TB sau phí=-0.86%, Win=50.0% | RISK ON: n=20, TB sau phí=-1.67%, Win=25.0%"
CTG,MOMENTUM,OK,29,0.8,0.74,-0.06,48.3,-0.26,48.3,SIDEWAY,RISK OFF,2,7.83,100.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,34.8,40.7,0.0,-1.76,-5.43,"RISK OFF: n=2, TB sau phí=7.83%, Win=100.0% | RISK ON: n=22, TB sau phí=-0.31%, Win=50.0% | SIDEWAY: n=5, TB sau phí=-2.13%, Win=20.0%"
SBT,MOMENTUM,OK,25,0.8,0.2,-0.6,36.0,-0.48,36.0,SIDEWAY,RISK OFF,2,1.76,50.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,20.35,49.25,-3.78,-1.6,-7.08,"RISK OFF: n=2, TB sau phí=1.76%, Win=50.0% | SIDEWAY: n=8, TB sau phí=1.23%, Win=62.5% | RISK ON: n=15, TB sau phí=-1.90%, Win=20.0%"
CMG,MOMENTUM,OK,23,0.8,-0.41,-1.21,34.8,-0.65,26.1,SIDEWAY,RISK ON,17,-0.78,35.3,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,27.0,50.0,-4.09,-2.68,-6.41,"RISK ON: n=17, TB sau phí=-0.78%, Win=35.3% | SIDEWAY: n=4, TB sau phí=-2.07%, Win=25.0% | RISK OFF: n=2, TB sau phí=-3.15%, Win=50.0%"
IDC,MOMENTUM,OK,23,0.8,-3.71,-4.51,21.7,-4.38,17.4,SIDEWAY,RISK OFF,4,0.98,75.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,43.4,41.67,-0.46,-1.54,-6.26,"RISK OFF: n=4, TB sau phí=0.98%, Win=75.0% | RISK ON: n=18, TB sau phí=-5.15%, Win=11.1% | SIDEWAY: n=1, TB sau phí=-15.06%, Win=0.0%"
LCG,BOTTOM,OK,20,0.8,-0.01,-0.81,40.0,-0.54,45.0,SIDEWAY,RISK OFF,11,-0.66,54.5,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,1.15,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,9.13,11.11,-0.87,-3.39,-10.05,"RISK OFF: n=11, TB sau phí=-0.66%, Win=54.5% | RISK ON: n=7, TB sau phí=-0.97%, Win=28.6% | SIDEWAY: n=2, TB sau phí=-1.03%, Win=0.0%"
HDB,MOMENTUM,OK,16,0.8,-0.46,-1.26,56.2,-1.09,43.8,SIDEWAY,RISK ON,12,-1.13,58.3,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,25.9,39.36,0.19,-3.11,-7.83,"RISK ON: n=12, TB sau phí=-1.13%, Win=58.3% | SIDEWAY: n=4, TB sau phí=-1.65%, Win=50.0%"
NBB,MOMENTUM,OK,14,0.8,0.28,-0.52,50.0,-0.06,42.9,SIDEWAY,RISK OFF,5,0.18,80.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,17.6,39.39,-0.56,-0.52,-1.95,"RISK OFF: n=5, TB sau phí=0.18%, Win=80.0% | RISK ON: n=9, TB sau phí=-0.91%, Win=33.3%"
FCN,MOMENTUM,OK,11,0.8,0.4,-0.4,36.4,-1.03,27.3,SIDEWAY,RISK OFF,1,2.43,100.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.8,40.0,-0.39,-1.37,-5.19,"RISK OFF: n=1, TB sau phí=2.43%, Win=100.0% | SIDEWAY: n=2, TB sau phí=-0.64%, Win=50.0% | RISK ON: n=8, TB sau phí=-0.70%, Win=25.0%"
SHB,MOMENTUM,OK,9,0.8,-0.63,-1.43,22.2,-2.03,0.0,SIDEWAY,RISK ON,7,-1.31,28.6,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,0.8,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,13.8,37.04,1.85,-0.76,-5.8,"RISK ON: n=7, TB sau phí=-1.31%, Win=28.6% | SIDEWAY: n=2, TB sau phí=-1.84%, Win=0.0%"
SCS,MOMENTUM,OK,8,0.8,-1.84,-2.64,12.5,-1.72,25.0,SIDEWAY,SIDEWAY,1,-1.92,0.0,0,KHÔNG ỔN ĐỊNH THEO REGIME,20,1.0,0,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,51.1,37.5,-1.35,-1.64,-4.31,"SIDEWAY: n=1, TB sau phí=-1.92%, Win=0.0% | RISK ON: n=7, TB sau phí=-2.75%, Win=14.3%"
