Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
ASM,6,"[1.74, 1.57, 0.56, 0.28, 2.09, 1.77]",8.01,1.34,ASM,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
BVB,6,"[2.49, 2.51, 8.0, 0.68, 0.75, 2.24]",16.67,2.78,BVB,,,0.0,,,,,,,,0.0,
KDH,6,"[0.72, 6.41, 6.02, 0.95, 6.88, 5.85]",26.83,4.47,KDH,,,0.0,,,,,,,,0.0,
NT2,6,"[0.44, 1.32, 1.09, 3.45, 0.83, 0.21]",7.34,1.22,NT2,,,0.0,,,,,,,,0.0,
DIG,6,"[6.81, 1.53, 0.24, 0.61, 6.89, 2.02]",18.1,3.02,DIG,,,0.0,,,,,,,,0.0,
SHB,6,"[0.24, 7.02, 5.11, 3.17, 0.41, 0.82]",16.77,2.8,SHB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
DBC,6,"[0.99, 2.55, 0.39, 1.17, 0.34, 2.48]",7.92,1.32,DBC,,,0.0,,,,,,,,0.0,
AAA,6,"[1.04, 0.29, 3.65, 0.28, 1.27, 0.14]",6.67,1.11,AAA,,,0.0,,,,,,,,0.0,
REE,6,"[0.74, 0.15, 0.29, 0.71, 0.15, 0.44]",2.48,0.41,REE,,,0.0,,,,,,,,0.0,
CTD,6,"[2.03, 0.53, 1.04, 0.39, 1.17, 0.39]",5.55,0.92,CTD,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
TCL,6,"[0.61, 0.64, 0.3, 0.3, 0.63, 1.84]",4.32,0.72,TCL,,,0.0,,,,,,,,0.0,
KSB,6,"[1.18, 0.58, 0.29, 1.15, 0.28, 1.99]",5.47,0.91,KSB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
DGW,6,"[2.41, 4.12, 3.25, 0.27, 1.23, 6.88]",18.16,3.03,DGW,,,0.0,,,,,,,,0.0,
HBC,6,"[2.0, 1.96, 3.85, 7.41, 10.34, 4.69]",30.25,5.04,HBC,,,0.0,,,,,,,,0.0,
MBS,6,"[0.69, 1.74, 2.08, 5.8, 0.62, 1.58]",12.51,2.08,MBS,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
MSB,6,"[0.36, 0.81, 1.43, 1.15, 2.53, 4.26]",10.54,1.76,MSB,,,0.0,,,,,,,,0.0,
LAS,6,"[0.89, 0.93, 3.49, 9.78, 9.72, 0.35]",25.16,4.19,LAS,,,0.0,,,,,,,,0.0,
DHC,6,"[0.41, 1.17, 0.53, 4.21, 1.49, 5.95]",13.76,2.29,DHC,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
APG,6,"[6.84, 6.84, 6.82, 1.16, 6.88, 3.22]",31.76,5.29,APG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
GAS,6,"[0.31, 2.55, 6.99, 0.59, 2.3, 1.27]",14.01,2.33,GAS,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
PAN,6,"[0.63, 0.85, 0.23, 6.08, 3.98, 2.66]",14.43,2.4,PAN,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
SZC,6,"[0.13, 0.78, 6.98, 0.37, 2.78, 0.1]",11.14,1.86,SZC,,,0.0,,,,,,,,0.0,
PVT,6,"[2.15, 2.1, 6.76, 0.83, 1.64, 0.54]",14.02,2.34,PVT,,,0.0,,,,,,,,0.0,
HHS,6,"[1.86, 0.34, 4.66, 6.96, 4.67, 1.94]",20.43,3.41,HHS,,,0.0,,,,,,,,0.0,
VTO,6,"[3.03, 0.62, 0.69, 0.31, 6.77, 0.57]",11.99,2.0,VTO,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
PVD,6,"[0.88, 0.22, 3.2, 0.35, 0.21, 0.42]",5.28,0.88,PVD,,,0.0,,,,,,,,0.0,
VIP,6,"[4.26, 0.32, 2.08, 1.64, 3.93, 2.81]",15.04,2.51,VIP,,,0.0,,,,,,,,0.0,
MSH,6,"[0.23, 0.61, 1.06, 0.08, 3.98, 0.4]",6.36,1.06,MSH,,,0.0,,,,,,,,0.0,
DHA,6,"[0.68, 0.18, 3.44, 3.33, 4.04, 0.61]",12.28,2.05,DHA,,,0.0,,,,,,,,0.0,
POW,6,"[6.69, 6.61, 3.96, 0.51, 0.82, 0.81]",19.4,3.23,POW,,,0.0,,,,,,,,0.0,
VND,6,"[2.04, 0.36, 1.0, 0.63, 1.05, 0.62]",5.7,0.95,VND,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
ORS,6,"[0.11, 0.43, 1.27, 6.58, 0.98, 0.49]",9.86,1.64,ORS,,,0.0,,,,,,,,0.0,
DCM,5,"[2.51, 1.51, 2.55, 0.14, 1.04]",7.75,1.55,DCM,,,0.0,,,,,,,,30.0,CẦN THEO DÕI THÊM
OCB,5,"[0.33, 0.44, 0.33, 3.78, 0.63]",5.51,1.1,OCB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
APH,5,"[0.16, 0.32, 0.16, 0.16, 2.66]",3.46,0.69,APH,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
HSG,5,"[2.07, 0.95, 2.01, 0.53, 0.72]",6.28,1.26,HSG,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
IJC,5,"[0.39, 0.68, 1.84, 2.09, 4.19]",9.19,1.84,IJC,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
DCM,5,"[2.51, 1.51, 2.55, 0.14, 1.04]",7.75,1.55,DCM,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
SCS,5,"[1.36, 1.22, 3.59, 0.51, 0.63]",7.31,1.46,SCS,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
SAB,5,"[4.04, 0.18, 0.54, 1.22, 2.09]",8.07,1.61,SAB,,,0.0,,,,,,,,0.0,
HNG,5,"[0.68, 1.35, 6.87, 6.85, 2.91]",18.66,3.73,HNG,,,0.0,,,,,,,,0.0,
HAG,5,"[1.45, 6.67, 0.89, 3.98, 0.43]",13.42,2.68,HAG,,,0.0,,,,,,,,0.0,
VCG,5,"[6.85, 6.93, 4.36, 2.73, 0.45]",21.32,4.26,VCG,,,0.0,,,,,,,,0.0,
HHV,5,"[7.0, 6.54, 2.18, 1.26, 0.38]",17.36,3.47,HHV,,,0.0,,,,,,,,0.0,
OIL,5,"[0.58, 1.16, 9.71, 14.06, 13.24]",38.75,7.75,OIL,,,0.0,,,,,,,,0.0,
FPT,5,"[4.19, 1.49, 1.99, 1.01, 5.68]",14.36,2.87,FPT,,,0.0,,,,,,,,0.0,
OCB,5,"[0.33, 0.44, 0.33, 3.78, 0.63]",5.51,1.1,OCB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
GIL,5,"[1.63, 0.15, 2.11, 1.06, 0.15]",5.1,1.02,GIL,,,0.0,,,,,,,,0.0,
CNG,5,"[1.88, 1.44, 0.12, 0.15, 1.69]",5.28,1.06,CNG,,,0.0,,,,,,,,0.0,
FTS,5,"[4.29, 0.14, 1.42, 1.91, 0.11]",7.87,1.57,FTS,,,0.0,,,,,,,,0.0,
APH,5,"[0.16, 0.32, 0.16, 0.16, 2.66]",3.46,0.69,APH,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
HSG,5,"[2.07, 0.95, 2.01, 0.53, 0.72]",6.28,1.26,HSG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
IJC,5,"[0.39, 0.68, 1.84, 2.09, 4.19]",9.19,1.84,IJC,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
VHC,5,"[1.86, 1.54, 0.56, 2.89, 0.54]",7.39,1.48,VHC,,,0.0,,,,,,,,0.0,
STK,5,"[1.58, 1.22, 0.82, 0.16, 7.0]",10.78,2.16,STK,,,0.0,,,,,,,,0.0,
SCS,5,"[1.36, 1.22, 3.59, 0.51, 0.63]",7.31,1.46,SCS,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
LCG,5,"[1.35, 0.72, 0.72, 2.5, 1.16]",6.45,1.29,LCG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
LCG,5,"[1.35, 0.72, 0.72, 2.5, 1.16]",6.45,1.29,LCG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
ITA,4,"[0.17, 1.01, 0.83, 0.33]",2.34,0.58,ITA,,,0.0,,,,,,,,0.0,
VPG,4,"[0.92, 0.32, 2.14, 0.95]",4.33,1.08,VPG,,,0.0,,,,,,,,0.0,
IVS,3,"[0.81, 9.68, 5.15]",15.64,5.21,IVS,,,0.0,,,,,,,,0.0,
