Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
SBT,10,"[1.45, 0.24, 1.19, 0.24, 1.41, 6.48, 1.3, 0.21, 1.5, 0.42]",14.44,1.44,SBT,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
ANV,9,"[6.7, 1.18, 2.22, 1.14, 3.28, 5.04, 6.78, 6.89, 4.43]",37.66,4.18,ANV,WATCHLIST,ĐÁNH RẤT NHỎ,2.108,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,2.108,ĐÁNH RẤT NHỎ,,,85.0,REGIME FIT MẠNH
ANV,9,"[6.7, 1.18, 2.22, 1.14, 3.28, 5.04, 6.78, 6.89, 4.43]",37.66,4.18,ANV,WATCHLIST,ĐÁNH RẤT NHỎ,2.108,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,2.108,ĐÁNH RẤT NHỎ,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
HDB,9,"[0.43, 0.37, 0.21, 0.43, 3.86, 4.13, 4.16, 2.35, 0.73]",16.67,1.85,HDB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
VPB,9,"[0.49, 0.24, 2.14, 4.43, 0.91, 3.75, 0.65, 2.34, 4.36]",19.31,2.15,VPB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
MWG,9,"[0.82, 2.48, 5.03, 2.86, 2.05, 1.27, 0.19, 4.66, 1.73]",21.09,2.34,MWG,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
HDB,9,"[0.43, 0.37, 0.21, 0.43, 3.86, 4.13, 4.16, 2.35, 0.73]",16.67,1.85,HDB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
CEO,9,"[4.67, 9.75, 1.43, 5.42, 5.7, 8.53, 2.76, 1.08, 1.12]",40.46,4.5,CEO,,,0.0,,,,,,,,0.0,
HCM,9,"[3.4, 6.87, 3.08, 2.29, 0.21, 1.82, 3.52, 0.44, 2.31]",23.94,2.66,HCM,,,0.0,,,,,,,,0.0,
NTP,9,"[1.06, 1.82, 1.79, 0.26, 1.97, 1.25, 0.98, 0.21, 1.22]",10.56,1.17,NTP,,,0.0,,,,,,,,0.0,
VPB,9,"[0.49, 0.24, 2.14, 4.43, 0.91, 3.75, 0.65, 2.34, 4.36]",19.31,2.15,VPB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
TCB,9,"[0.77, 0.2, 1.13, 0.76, 1.34, 0.55, 1.48, 0.73, 6.53]",13.49,1.5,TCB,,,0.0,,,,,,,,0.0,
VSC,9,"[5.07, 3.44, 0.28, 2.96, 5.89, 2.71, 2.2, 6.9, 6.97]",36.42,4.05,VSC,,,0.0,,,,,,,,0.0,
LPB,9,"[1.54, 0.54, 0.97, 0.32, 2.02, 2.5, 6.91, 5.51, 0.9]",21.21,2.36,LPB,,,0.0,,,,,,,,0.0,
DGC,9,"[2.08, 2.99, 3.17, 0.13, 0.77, 0.51, 2.4, 6.91, 1.96]",20.92,2.32,DGC,,,0.0,,,,,,,,0.0,
TNG,9,"[2.72, 2.59, 3.6, 0.52, 0.46, 0.98, 0.51, 3.9, 4.13]",19.41,2.16,TNG,,,0.0,,,,,,,,0.0,
MWG,9,"[0.82, 2.48, 5.03, 2.86, 2.05, 1.27, 0.19, 4.66, 1.73]",21.09,2.34,MWG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
