Mã,Sector,Điểm V15.3,Meta Allocation %,V16 Action,Legacy Decision,Legacy Score,Legacy Group,Base Decision từ V16,Merged Decision,Final Decision,Nhóm realtime,Ưu tiên,Decision Mode,Meta Exposure,V15.5 Survival Exposure,Market Regime,Regime Strength,Equity State,Volatility Cluster,Correlation Heat,Kill Switch,Drawdown %,Buy zone thấp %,Buy zone cao %,Stoploss tham khảo %,Ghi chú merge,Ghi chú risk gate
ANV,OTHER,50.0,0.413,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
BVB,OTHER,50.0,0.297,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
VIC,REAL_ESTATE,50.0,0.261,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
VCI,OTHER,50.0,0.205,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
DGW,OTHER,50.0,0.203,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
LPB,OTHER,50.0,0.162,WATCH RẤT NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,AVOID,BỎ QUA,RẤT THẤP,CASH MODE,0.0154,0.055,SIDEWAY,SIDEWAY TRUNG TÍNH,PHÒNG THỦ MẠNH,BIẾN ĐỘNG TRUNG BÌNH,TRUNG BÌNH CAO,True,22.657,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",Kill switch từ upstream đang bật
