Mã,Nhóm realtime,Final Decision,Meta Allocation %,Decision Mode,Meta Exposure,Regime Strength,Equity State,Ưu tiên,Buy zone thấp %,Buy zone cao %,Stoploss tham khảo %,Market Regime,V15.5 Survival Exposure,Kill Switch,Drawdown %,Sector,Điểm V15.3,V16 Action,Ghi chú risk gate,Ghi chú V18
ABB,THEO DÕI,WATCHLIST,3.118,ĐÁNH RẤT NHỎ,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,THẤP,-1.5,1.5,-5.0,SIDEWAY,0.165,False,6.969,OTHER,50.0,PHÂN BỔ NHỎ,Chỉ watch / phân bổ rất nhỏ,V18 chỉ canh timing. Không được vượt allocation/risk từ V16/V17.1. Final=WATCHLIST; Mode=ĐÁNH RẤT NHỎ; Alloc=3.118%.
ANV,THEO DÕI,WATCHLIST,2.108,ĐÁNH RẤT NHỎ,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,THẤP,-1.5,1.5,-5.0,SIDEWAY,0.165,False,6.969,OTHER,50.0,PHÂN BỔ NHỎ,Chỉ watch / phân bổ rất nhỏ,V18 chỉ canh timing. Không được vượt allocation/risk từ V16/V17.1. Final=WATCHLIST; Mode=ĐÁNH RẤT NHỎ; Alloc=2.108%.
AGR,THEO DÕI,WATCHLIST,1.84,ĐÁNH RẤT NHỎ,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,THẤP,-1.5,1.5,-5.0,SIDEWAY,0.165,False,6.969,OTHER,50.0,WATCH RẤT NHỎ,Chỉ watch / phân bổ rất nhỏ,V18 chỉ canh timing. Không được vượt allocation/risk từ V16/V17.1. Final=WATCHLIST; Mode=ĐÁNH RẤT NHỎ; Alloc=1.84%.
TVS,THEO DÕI,WATCHLIST,1.682,ĐÁNH RẤT NHỎ,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,THẤP,-1.5,1.5,-5.0,SIDEWAY,0.165,False,6.969,OTHER,50.0,WATCH RẤT NHỎ,Chỉ watch / phân bổ rất nhỏ,V18 chỉ canh timing. Không được vượt allocation/risk từ V16/V17.1. Final=WATCHLIST; Mode=ĐÁNH RẤT NHỎ; Alloc=1.682%.
VOS,THEO DÕI,WATCHLIST,1.177,ĐÁNH RẤT NHỎ,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,THẤP,-1.5,1.5,-5.0,SIDEWAY,0.165,False,6.969,OTHER,50.0,WATCH RẤT NHỎ,Chỉ watch / phân bổ rất nhỏ,V18 chỉ canh timing. Không được vượt allocation/risk từ V16/V17.1. Final=WATCHLIST; Mode=ĐÁNH RẤT NHỎ; Alloc=1.177%.
