Ngày tín hiệu,Số mã trong danh mục,Lợi nhuận danh mục T+5 sau phí %,Win danh mục,Danh sách mã,Điểm TB,Equity giả lập,Drawdown giả lập %
2024-01-08 07:00:00,1,-4.14,0,CTR-MOMENTUM,90.0,0.9586,0.0
2024-01-09 07:00:00,1,-1.67,0,CTR-MOMENTUM,90.0,0.94259138,-1.6700000000000048
2024-01-11 07:00:00,1,-0.97,0,CTR-MOMENTUM,90.0,0.9334482436139999,-2.6238010000000145
2024-01-23 07:00:00,1,1.57,1,PDR-MOMENTUM,69.0,0.9481033810387398,-1.0949946757000006
2024-01-25 07:00:00,1,2.36,1,CTR-MOMENTUM,90.0,0.9704786208312541,0.0
2024-01-26 07:00:00,1,2.68,1,PDR-MOMENTUM,69.0,0.9964874478695317,0.0
2024-01-29 07:00:00,1,4.5,1,PDR-MOMENTUM,69.0,1.0413293830236605,0.0
2024-01-30 07:00:00,2,3.82,1,"CTR-MOMENTUM, PDR-MOMENTUM",79.5,1.0811081654551644,0.0
2024-01-31 07:00:00,1,6.5,1,PDR-MOMENTUM,69.0,1.15138019620975,0.0
2024-02-01 07:00:00,1,4.32,1,PDR-MOMENTUM,69.0,1.2011198206860112,0.0
2024-02-15 07:00:00,1,2.97,1,CTR-MOMENTUM,90.0,1.2367930793603858,0.0
2024-02-19 07:00:00,1,3.92,1,CTR-MOMENTUM,90.0,1.285275368071313,0.0
2024-02-20 07:00:00,1,4.56,1,CTR-MOMENTUM,90.0,1.343883924855365,0.0
2024-02-23 07:00:00,1,6.13,1,CTR-MOMENTUM,90.0,1.4262640094489987,0.0
2024-03-04 07:00:00,1,7.26,1,CTR-MOMENTUM,90.0,1.529810776534996,0.0
2024-03-05 07:00:00,1,12.57,1,CTR-MOMENTUM,90.0,1.7221079911454449,0.0
2024-03-08 07:00:00,1,11.84,1,CTR-MOMENTUM,90.0,1.9260055772970657,0.0
2024-03-20 07:00:00,1,10.85,1,PDR-MOMENTUM,69.0,2.1349771824337975,0.0
2024-05-02 07:00:00,1,-1.64,0,TVS-MOMENTUM,65.0,2.0999635566418835,-1.639999999999986
2024-05-03 07:00:00,1,-0.18,0,TVS-MOMENTUM,65.0,2.096183622239928,-1.8170479999999989
2024-05-07 07:00:00,1,-2.24,0,TVS-MOMENTUM,65.0,2.049229109101754,-4.016346124799986
2024-05-08 07:00:00,1,1.06,1,TVS-MOMENTUM,65.0,2.0709509376582322,-2.9989193937228764
2024-06-06 07:00:00,1,1.34,1,PDR-MOMENTUM,69.0,2.098701680222853,-1.699104913598748
2024-06-07 07:00:00,1,13.11,1,CTR-MOMENTUM,90.0,2.3738414705000688,0.0
2024-06-12 07:00:00,1,18.2,1,CTR-MOMENTUM,90.0,2.805880618131081,0.0
2024-08-23 07:00:00,1,-1.19,0,CTR-MOMENTUM,90.0,2.7724906387753214,-1.189999999999991
2024-09-04 07:00:00,1,-4.1,0,CTR-MOMENTUM,90.0,2.658818522585533,-5.241209999999996
2024-09-20 07:00:00,1,1.93,1,PDR-MOMENTUM,69.0,2.7101337200714344,-3.41236535299998
2024-09-23 07:00:00,1,0.56,1,PDR-MOMENTUM,69.0,2.7253104689038343,-2.8714745989767865
2024-09-27 07:00:00,1,-2.02,0,ABB-MOMENTUM,69.0,2.6702591974319767,-4.833470812077456
2024-09-30 07:00:00,1,-3.37,0,ABB-MOMENTUM,69.0,2.5802714624785192,-8.040582845710443
