symbol,signal_date,entry_date,signal,weighted_score,score_bucket,regime,regime_score,close_signal_day,entry_price,raw_entry_open,volume_ratio,rs5,rs10,rs20,ret5,ret20,rsi14,dist_ma20_pct,drawdown20_pct,atr_pct,min_exit_hold_bars,score_notes,factor_regime,factor_trend,factor_rs,factor_pullback,factor_volume,factor_momentum,factor_drawdown,factor_breakout,ret_t1_pct,ret_t2_pct,ret_t3_pct,ret_t5_pct,ret_t10_pct,max_favorable_t5_pct,max_drawdown_t5_pct,sellable_date_tplus,ret_sellable_tplus_pct,result_t5
AGR,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,19.22,19.519,19.49,0.393,1.031,-2.043,17.646,4.23,21.262,64.49,5.007,-4.092,4.467,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=1.03,RS10=-2.04,RS20=17.65 | pullback:not pullback zone,dist=5.01% | volume:volume weak 0.39x | momentum:ret5=4.23,rsi=64.5,macd_up=False | drawdown:healthy pullback -4.09% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,5.391,3.751,3.034,1.446,-3.729,6.73,-2.089,2024-04-01,3.034,WIN
ACB,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,19.62,19.649,19.62,0.557,0.886,1.484,-2.378,4.085,1.238,53.333,1.566,-3.445,2.101,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.89,RS10=1.48,RS20=-2.38 | pullback:near MA20 ideal,dist=1.57% | volume:volume weak 0.56x | momentum:ret5=4.08,rsi=53.3,macd_up=True | drawdown:healthy pullback -3.44% | breakout:no breakout",20.0,20.0,-8.0,15.0,-5.0,5.0,5.0,0.0,0.975,1.535,1.331,-0.246,-3.452,1.744,-1.671,2024-04-01,1.331,FLAT
APG,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.7,15.974,15.95,0.688,-0.585,6.419,6.174,2.614,9.79,70.37,4.859,-1.875,3.389,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.58,RS10=6.42,RS20=6.17 | pullback:not pullback zone,dist=4.86% | volume:volume weak 0.69x | momentum:ret5=2.61,rsi=70.4,macd_up=False | drawdown:healthy pullback -1.88% | breakout:no breakout",20.0,20.0,12.0,0.0,-5.0,2.0,5.0,0.0,-2.015,-2.954,-3.893,-3.267,-3.58,-0.75,-4.832,2024-04-01,-3.893,FAIL
BAF,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,20.07,20.17,20.14,0.868,-1.938,0.093,9.327,1.261,12.943,81.915,3.029,-1.376,2.566,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.94,RS10=0.09,RS20=9.33 | pullback:near MA20 acceptable,dist=3.03% | volume:volume weak 0.87x | momentum:ret5=1.26,rsi=81.9,macd_up=False | drawdown:healthy pullback -1.38% | breakout:no breakout",20.0,20.0,7.0,9.0,-5.0,-1.0,5.0,0.0,0.591,-0.995,-3.424,-6.25,-3.772,1.481,-6.25,2024-04-01,-3.424,FAIL
BFC,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.11,26.149,26.11,0.424,-4.857,-6.89,7.68,-1.657,11.296,59.839,0.117,-10.613,4.965,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-4.86,RS10=-6.89,RS20=7.68 | pullback:near MA20 ideal,dist=0.12% | volume:volume weak 0.42x | momentum:ret5=-1.66,rsi=59.8,macd_up=False | drawdown:moderate dd -10.61% | breakout:no breakout",20.0,20.0,2.0,15.0,-5.0,2.0,2.0,0.0,2.763,2.763,1.08,10.717,-0.106,11.258,-0.45,2024-04-01,1.08,WIN
BVS,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,30.85,30.896,30.85,0.594,-0.297,-3.888,18.369,2.902,21.985,51.631,3.153,-6.657,4.853,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.30,RS10=-3.89,RS20=18.37 | pullback:near MA20 acceptable,dist=3.15% | volume:volume weak 0.59x | momentum:ret5=2.90,rsi=51.6,macd_up=False | drawdown:healthy pullback -6.66% | breakout:no breakout",20.0,20.0,7.0,9.0,-5.0,4.0,5.0,0.0,4.794,3.564,2.334,13.5,15.669,13.2,-2.618,2024-04-01,2.334,WIN
CII,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.58,15.724,15.7,0.722,-2.942,3.651,1.3,0.257,4.916,62.441,2.889,-2.747,2.833,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-2.94,RS10=3.65,RS20=1.30 | pullback:near MA20 acceptable,dist=2.89% | volume:volume weak 0.72x | momentum:ret5=0.26,rsi=62.4,macd_up=False | drawdown:healthy pullback -2.75% | breakout:no breakout",20.0,20.0,3.0,9.0,-5.0,4.0,5.0,0.0,-0.959,-2.04,-1.722,-2.294,-5.856,0.777,-3.057,2024-04-01,-1.722,FAIL
DGW,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,47.78,47.852,47.78,0.502,-1.799,-0.302,13.693,1.401,17.309,65.831,4.449,-6.862,4.449,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.80,RS10=-0.30,RS20=13.69 | pullback:not pullback zone,dist=4.45% | volume:volume weak 0.50x | momentum:ret5=1.40,rsi=65.8,macd_up=False | drawdown:healthy pullback -6.86% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,0.616,1.076,0.47,0.303,-5.214,4.454,-0.763,2024-04-01,0.47,FLAT
CTS,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.3,26.45,26.41,0.366,0.222,-0.853,16.256,3.421,19.872,56.744,4.045,-4.71,4.28,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.22,RS10=-0.85,RS20=16.26 | pullback:not pullback zone,dist=4.05% | volume:volume weak 0.37x | momentum:ret5=3.42,rsi=56.7,macd_up=False | drawdown:healthy pullback -4.71% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,2.726,1.403,1.403,3.369,-1.508,6.925,-1.886,2024-04-01,1.403,WIN
DBC,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,23.55,23.625,23.59,0.654,-0.271,-0.374,2.465,2.928,6.081,67.362,3.222,-1.547,3.288,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.27,RS10=-0.37,RS20=2.46 | pullback:near MA20 acceptable,dist=3.22% | volume:volume weak 0.65x | momentum:ret5=2.93,rsi=67.4,macd_up=True | drawdown:healthy pullback -1.55% | breakout:no breakout",20.0,20.0,0.0,9.0,-5.0,5.0,5.0,0.0,1.582,2.217,0.947,0.82,-2.82,2.721,-1.254,2024-04-01,0.947,FLAT
DCM,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,31.46,31.738,31.69,0.485,0.016,-2.702,0.694,3.215,4.31,55.263,0.961,-4.377,3.269,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.02,RS10=-2.70,RS20=0.69 | pullback:near MA20 ideal,dist=0.96% | volume:volume weak 0.48x | momentum:ret5=3.22,rsi=55.3,macd_up=True | drawdown:healthy pullback -4.38% | breakout:no breakout",20.0,15.0,0.0,15.0,-5.0,5.0,5.0,0.0,0.117,-1.017,-2.718,-0.04,-5.964,2.212,-3.569,2024-04-01,-2.718,FLAT
DGC,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,112.57,112.739,112.57,0.505,-1.776,-1.474,4.541,1.424,8.157,59.452,1.345,-8.211,4.357,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.78,RS10=-1.47,RS20=4.54 | pullback:near MA20 ideal,dist=1.35% | volume:volume weak 0.51x | momentum:ret5=1.42,rsi=59.5,macd_up=False | drawdown:healthy pullback -8.21% | breakout:no breakout",20.0,20.0,0.0,15.0,-5.0,4.0,5.0,0.0,2.202,1.785,-0.778,0.961,-2.765,4.883,-2.268,2024-04-01,-0.778,FLAT
CRE,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,9.22,9.264,9.25,1.298,3.39,7.43,1.156,6.59,4.773,70.349,6.411,1.319,2.688,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=3.39,RS10=7.43,RS20=1.16 | pullback:not pullback zone,dist=6.41% | volume:volume good 1.30x | momentum:ret5=6.59,rsi=70.3,macd_up=True | drawdown:near high 1.32% | breakout:no breakout",20.0,20.0,11.0,0.0,10.0,3.0,1.0,0.0,-1.529,-3.364,1.169,-3.58,-4.228,1.841,-5.091,2024-04-01,1.169,FAIL
CTD,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,64.71,64.897,64.8,0.562,1.054,0.531,5.286,4.253,8.903,56.777,2.467,-6.149,3.284,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=1.05,RS10=0.53,RS20=5.29 | pullback:near MA20 acceptable,dist=2.47% | volume:volume weak 0.56x | momentum:ret5=4.25,rsi=56.8,macd_up=True | drawdown:healthy pullback -6.15% | breakout:no breakout",20.0,20.0,7.0,9.0,-5.0,5.0,5.0,0.0,-1.405,-0.989,-2.9,-4.117,-4.656,0.745,-4.117,2024-04-01,-2.9,FAIL
CEO,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,21.38,21.502,21.47,0.75,0.789,7.788,2.225,3.988,5.842,67.386,5.242,-2.862,4.537,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.79,RS10=7.79,RS20=2.23 | pullback:not pullback zone,dist=5.24% | volume:volume weak 0.75x | momentum:ret5=3.99,rsi=67.4,macd_up=True | drawdown:healthy pullback -2.86% | breakout:no breakout",20.0,20.0,8.0,0.0,-5.0,5.0,5.0,0.0,-1.705,-3.798,-2.961,-0.45,-5.519,2.599,-7.193,2024-04-01,-2.961,FLAT
DPM,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,18.89,18.948,18.92,0.539,0.251,-1.593,0.576,3.45,4.192,58.523,1.551,-3.868,2.93,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.25,RS10=-1.59,RS20=0.58 | pullback:near MA20 ideal,dist=1.55% | volume:volume weak 0.54x | momentum:ret5=3.45,rsi=58.5,macd_up=True | drawdown:healthy pullback -3.87% | breakout:no breakout",20.0,20.0,0.0,15.0,-5.0,5.0,5.0,0.0,0.078,-1.136,-1.822,0.764,-4.197,2.997,-3.352,2024-04-01,-1.822,FLAT
FPT,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,84.17,84.076,83.95,0.486,-0.528,-0.217,2.955,2.671,6.571,62.866,2.113,-2.963,2.709,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.53,RS10=-0.22,RS20=2.96 | pullback:near MA20 acceptable,dist=2.11% | volume:volume weak 0.49x | momentum:ret5=2.67,rsi=62.9,macd_up=False | drawdown:healthy pullback -2.96% | breakout:no breakout",20.0,20.0,0.0,9.0,-5.0,4.0,5.0,0.0,1.644,1.12,1.382,-0.093,-1.223,1.784,-0.961,2024-04-01,1.382,FLAT
FRT,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,118.3,116.955,116.78,0.654,-4.402,-9.382,5.205,-1.203,8.822,54.459,-0.2,-8.761,3.907,3,"regime:regime=TĂNG MẠNH:20.0 | trend:MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-4.40,RS10=-9.38,RS20=5.21 | pullback:near MA20 ideal,dist=-0.20% | volume:volume weak 0.65x | momentum:ret5=-1.20,rsi=54.5,macd_up=False | drawdown:healthy pullback -8.76% | breakout:no breakout",20.0,14.0,2.0,15.0,-5.0,2.0,5.0,0.0,7.006,6.39,4.68,1.192,-4.545,7.116,-3.459,2024-04-01,4.68,WIN
HDB,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,14.94,15.033,15.01,1.101,5.062,2.445,2.946,8.261,6.562,58.456,4.279,1.014,2.577,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=5.06,RS10=2.45,RS20=2.95 | pullback:not pullback zone,dist=4.28% | volume:volume acceptable 1.10x | momentum:ret5=8.26,rsi=58.5,macd_up=True | drawdown:near high 1.01% | breakout:no breakout",20.0,20.0,6.0,0.0,4.0,5.0,1.0,0.0,-0.649,-1.315,-1.714,-4.175,-1.913,0.048,-4.375,2024-04-01,-1.714,FAIL
IVS,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,12.9,12.919,12.9,0.369,-5.472,1.044,4.787,-2.273,8.403,57.407,0.663,-11.034,5.537,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-5.47,RS10=1.04,RS20=4.79 | pullback:near MA20 ideal,dist=0.66% | volume:volume weak 0.37x | momentum:ret5=-2.27,rsi=57.4,macd_up=False | drawdown:moderate dd -11.03% | breakout:no breakout",20.0,20.0,1.0,15.0,-5.0,2.0,2.0,0.0,-1.224,-1.224,2.646,-0.45,-0.45,4.668,-1.998,2024-04-01,2.646,FLAT
SBT,2024-03-27,2024-03-28,WEIGHTED_SCORE,89.0,80+,TĂNG MẠNH,90.0,10.75,10.856,10.84,1.326,-1.076,1.391,-8.634,0.75,-6.359,35.16,-1.683,-7.725,2.877,3,"regime:regime=TĂNG MẠNH:20.0 | trend: | rs:RS5=-1.08,RS10=1.39,RS20=-8.63 | pullback:near MA20 acceptable,dist=-1.68% | volume:volume good 1.33x | momentum:ret5=0.75,rsi=35.2,macd_up=True | drawdown:healthy pullback -7.73% | breakout:no breakout",20.0,0.0,-8.0,9.0,10.0,3.0,5.0,0.0,-2.476,-2.016,-2.016,-4.042,-2.845,-0.381,-4.411,2024-04-02,-2.016,FAIL
ACB,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,19.97,19.9,19.87,0.562,2.341,2.721,0.711,3.418,2.305,67.347,3.063,-1.722,2.132,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=2.34,RS10=2.72,RS20=0.71 | pullback:near MA20 acceptable,dist=3.06% | volume:volume weak 0.56x | momentum:ret5=3.42,rsi=67.3,macd_up=True | drawdown:healthy pullback -1.72% | breakout:no breakout",20.0,20.0,3.0,9.0,-5.0,5.0,5.0,0.0,-1.505,-3.113,-4.52,-3.967,-4.52,-0.398,-5.224,2024-04-05,-4.52,FAIL
APG,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.4,15.673,15.65,0.527,-2.042,-1.402,3.168,-0.965,4.762,69.811,1.382,-3.75,3.061,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-2.04,RS10=-1.40,RS20=3.17 | pullback:near MA20 ideal,dist=1.38% | volume:volume weak 0.53x | momentum:ret5=-0.96,rsi=69.8,macd_up=False | drawdown:healthy pullback -3.75% | breakout:no breakout",20.0,20.0,0.0,15.0,-5.0,2.0,5.0,0.0,-1.407,-2.045,-2.683,-1.407,-4.597,-0.75,-5.235,2024-04-05,-2.683,FAIL
AGR,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,20.17,20.07,20.04,0.597,5.642,6.866,20.722,6.72,22.317,59.464,5.641,-2.654,3.97,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=5.64,RS10=6.87,RS20=20.72 | pullback:not pullback zone,dist=5.64% | volume:volume weak 0.60x | momentum:ret5=6.72,rsi=59.5,macd_up=False | drawdown:healthy pullback -2.65% | breakout:no breakout",20.0,20.0,18.0,0.0,-5.0,4.0,5.0,0.0,-1.347,-3.639,-7.276,-4.785,-7.276,3.784,-9.07,2024-04-05,-7.276,FAIL
BFC,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.51,26.42,26.38,0.352,0.963,-2.216,10.168,2.04,11.762,45.576,-0.467,-9.243,3.972,3,"regime:regime=TĂNG MẠNH:20.0 | trend:MA20>MA50|MA20 slope up | rs:RS5=0.96,RS10=-2.22,RS20=10.17 | pullback:near MA20 ideal,dist=-0.47% | volume:volume weak 0.35x | momentum:ret5=2.04,rsi=45.6,macd_up=False | drawdown:healthy pullback -9.24% | breakout:no breakout",20.0,9.0,7.0,15.0,-5.0,4.0,5.0,0.0,9.581,7.915,1.216,-0.45,-4.803,10.643,-2.456,2024-04-05,1.216,FLAT
CRE,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,9.4,9.414,9.4,2.295,5.741,5.118,5.224,6.818,6.818,76.382,7.257,1.075,3.116,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=5.74,RS10=5.12,RS20=5.22 | pullback:not pullback zone,dist=7.26% | volume:volume high but ok 2.30x | momentum:ret5=6.82,rsi=76.4,macd_up=True | drawdown:near high 1.08% | breakout:breakout20 confirmed",20.0,20.0,15.0,0.0,3.0,3.0,1.0,5.0,-5.124,-8.948,-7.142,-8.31,-10.222,0.206,-11.391,2024-04-05,-7.142,FAIL
CII,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.5,15.433,15.41,0.714,-1.335,-2.207,1.396,-0.257,2.99,72.821,1.413,-3.246,2.783,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.33,RS10=-2.21,RS20=1.40 | pullback:near MA20 ideal,dist=1.41% | volume:volume weak 0.71x | momentum:ret5=-0.26,rsi=72.8,macd_up=False | drawdown:healthy pullback -3.25% | breakout:no breakout",20.0,20.0,0.0,15.0,-5.0,0.0,5.0,0.0,-0.45,-2.005,-3.301,-3.56,-11.724,2.166,-4.856,2024-04-05,-3.301,FAIL
BVS,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,31.71,31.758,31.71,0.873,1.71,4.768,15.807,2.788,17.401,53.027,2.388,-4.054,4.681,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=1.71,RS10=4.77,RS20=15.81 | pullback:near MA20 acceptable,dist=2.39% | volume:volume weak 0.87x | momentum:ret5=2.79,rsi=53.0,macd_up=False | drawdown:healthy pullback -4.05% | breakout:no breakout",20.0,20.0,10.0,9.0,-5.0,4.0,5.0,0.0,10.414,14.035,11.295,14.318,4.683,19.151,-1.961,2024-04-05,11.295,WIN
DBC,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,23.92,23.846,23.81,0.693,3.331,1.493,7.232,4.409,8.826,59.681,3.304,-2.007,3.067,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=3.33,RS10=1.49,RS20=7.23 | pullback:near MA20 acceptable,dist=3.30% | volume:volume weak 0.69x | momentum:ret5=4.41,rsi=59.7,macd_up=False | drawdown:healthy pullback -2.01% | breakout:no breakout",20.0,20.0,10.0,9.0,-5.0,4.0,5.0,0.0,-0.114,1.27,-4.518,-4.056,-14.415,4.576,-7.327,2024-04-05,-4.518,FAIL
CTS,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.9,26.59,26.55,0.726,2.146,3.906,15.058,3.223,16.652,58.11,3.057,-2.536,3.887,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=2.15,RS10=3.91,RS20=15.06 | pullback:near MA20 acceptable,dist=3.06% | volume:volume weak 0.73x | momentum:ret5=3.22,rsi=58.1,macd_up=False | drawdown:healthy pullback -2.54% | breakout:no breakout",20.0,20.0,10.0,9.0,-5.0,4.0,5.0,0.0,2.822,0.34,-5.715,-0.45,4.138,6.358,-6.241,2024-04-05,-5.715,FLAT
DGW,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,48.22,48.292,48.22,0.428,0.31,-2.132,9.768,1.388,11.363,56.744,2.628,-6.004,3.843,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.31,RS10=-2.13,RS20=9.77 | pullback:near MA20 acceptable,dist=2.63% | volume:volume weak 0.43x | momentum:ret5=1.39,rsi=56.7,macd_up=False | drawdown:healthy pullback -6.00% | breakout:no breakout",20.0,20.0,4.0,9.0,-5.0,4.0,5.0,0.0,-0.615,-0.305,-3.349,-5.316,-10.638,2.729,-7.594,2024-04-05,-3.349,FAIL
DGC,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,112.2,111.998,111.83,0.707,-0.827,-1.275,5.723,0.25,7.317,51.96,-0.644,-8.513,3.761,3,"regime:regime=TĂNG MẠNH:20.0 | trend:MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.83,RS10=-1.27,RS20=5.72 | pullback:near MA20 ideal,dist=-0.64% | volume:volume weak 0.71x | momentum:ret5=0.25,rsi=52.0,macd_up=False | drawdown:healthy pullback -8.51% | breakout:no breakout",20.0,14.0,4.0,15.0,-5.0,4.0,5.0,0.0,1.631,1.791,-0.619,-2.869,-5.78,5.581,-4.119,2024-04-05,-0.619,FAIL
CNG,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,32.44,32.489,32.44,0.486,-2.054,6.32,17.846,-0.977,19.44,71.367,5.64,-5.395,4.186,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-2.05,RS10=6.32,RS20=17.85 | pullback:not pullback zone,dist=5.64% | volume:volume weak 0.49x | momentum:ret5=-0.98,rsi=71.4,macd_up=False | drawdown:healthy pullback -5.40% | breakout:no breakout",20.0,20.0,15.0,0.0,-5.0,0.0,5.0,0.0,7.553,8.815,4.69,4.106,-4.728,13.224,-1.589,2024-04-05,4.69,WIN
FCN,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,16.48,16.555,16.53,0.642,1.029,2.86,14.136,2.107,15.73,68.555,5.712,0.243,3.342,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=1.03,RS10=2.86,RS20=14.14 | pullback:not pullback zone,dist=5.71% | volume:volume weak 0.64x | momentum:ret5=2.11,rsi=68.6,macd_up=True | drawdown:near high 0.24% | breakout:no breakout",20.0,20.0,10.0,0.0,-5.0,5.0,1.0,0.0,-6.007,-8.363,-8.363,-7.517,-18.088,-0.75,-10.417,2024-04-05,-8.363,FAIL
DRC,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,24.09,24.046,24.01,0.581,3.936,-1.192,1.354,5.013,2.949,50.412,1.391,-5.344,3.54,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA20>MA50|MA20 slope up | rs:RS5=3.94,RS10=-1.19,RS20=1.35 | pullback:near MA20 ideal,dist=1.39% | volume:volume weak 0.58x | momentum:ret5=5.01,rsi=50.4,macd_up=True | drawdown:healthy pullback -5.34% | breakout:no breakout",20.0,15.0,3.0,15.0,-5.0,5.0,5.0,0.0,3.293,1.671,-5.357,-7.769,-11.637,6.736,-10.763,2024-04-05,-5.357,FAIL
IDI,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,10.78,10.836,10.82,0.763,2.576,2.737,-0.752,3.654,0.842,51.012,1.492,-3.664,3.273,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=2.58,RS10=2.74,RS20=-0.75 | pullback:near MA20 ideal,dist=1.49% | volume:volume weak 0.76x | momentum:ret5=3.65,rsi=51.0,macd_up=True | drawdown:healthy pullback -3.66% | breakout:no breakout",20.0,20.0,-8.0,15.0,-5.0,5.0,5.0,0.0,-0.081,-2.019,-2.388,-5.064,-15.123,1.926,-7.371,2024-04-05,-2.388,FAIL
HCM,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,21.64,21.562,21.53,0.994,4.793,6.739,2.796,5.871,4.39,61.071,4.267,-1.006,3.014,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=4.79,RS10=6.74,RS20=2.80 | pullback:not pullback zone,dist=4.27% | volume:volume weak 0.99x | momentum:ret5=5.87,rsi=61.1,macd_up=True | drawdown:healthy pullback -1.01% | breakout:no breakout",20.0,20.0,11.0,0.0,-5.0,5.0,5.0,0.0,-1.609,-1.47,-5.18,-3.001,-8.056,1.291,-5.83,2024-04-05,-5.18,FAIL
HDB,2024-04-01,2024-04-02,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,14.82,14.662,14.64,0.919,0.848,4.573,1.394,1.926,2.988,62.846,2.692,-2.049,2.598,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.85,RS10=4.57,RS20=1.39 | pullback:near MA20 acceptable,dist=2.69% | volume:volume weak 0.92x | momentum:ret5=1.93,rsi=62.8,macd_up=False | drawdown:healthy pullback -2.05% | breakout:no breakout",20.0,20.0,3.0,9.0,-5.0,4.0,5.0,0.0,-1.746,-1.95,-1.95,0.573,-1.336,0.683,-2.564,2024-04-05,-1.95,FLAT
