pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size
COMBO_2,market_context risk-off + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,160,79,50,31,49.38,31.25,0.06,1.146,-3.776,2
COMBO_2,drawdown20 < -15% + label:market_regime_RẤT_YẾU,45,21,14,10,46.67,31.11,0.423,0.651,-4.325,2
COMBO_2,market_ret20 < -5% + label:risk_context_RISK_TRUNG_TÍNH,153,79,47,27,51.63,30.72,0.994,2.153,-3.575,2
COMBO_2,market_ret20 < -5% + label:structure_context_KHÔNG_RÕ_NỀN,464,241,140,83,51.94,30.17,1.171,2.428,-3.612,2
COMBO_2,market_ret20 < -5% + market_context risk-off,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,2
COMBO_2,market_ret20 < -5% + label:market_context_MARKET_RISK-OFF,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,2
COMBO_2,market_ret20 < -5% + label:volume_context_VOLUME_TRUNG_TÍNH,211,107,63,41,50.71,29.86,0.789,1.819,-3.606,2
COMBO_2,volume_ratio < 1x + market_ret20 < -5%,371,189,110,72,50.94,29.65,0.872,2.005,-3.159,2
COMBO_2,sideway_score20 >= 2 + market_ret20 < -5%,99,47,29,23,47.47,29.29,0.763,1.32,-2.653,2
COMBO_2,market_ret20 < -5% + label:structure_context_CÓ_NỀN___SIDEWAY,99,47,29,23,47.47,29.29,0.763,1.32,-2.653,2
COMBO_2,volume_ratio 1.2-2.0x + label:market_regime_YẾU,123,61,36,26,49.59,29.27,1.335,2.311,-3.414,2
COMBO_2,market_ret20 < -5% + label:volume_context_VOLUME_CẠN,219,119,64,36,54.34,29.22,1.253,2.402,-3.017,2
COMBO_2,stock_dist_ma20 < -3% + market_ret20 < -5%,125,68,36,21,54.4,28.8,1.82,2.197,-3.134,2
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,125,68,36,21,54.4,28.8,1.82,2.197,-3.134,2
COMBO_2,volatility_contraction20 > 1.3 + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,95,46,27,22,48.42,28.42,0.464,1.015,-3.951,2
COMBO_2,market_ret20 < -5% + label:score_bucket_60-69,230,118,65,47,51.3,28.26,1.396,2.176,-3.145,2
COMBO_2,volatility_contraction20 > 1.3 + market_ret5 > 4%,50,25,14,11,50.0,28.0,1.138,2.932,-5.386,2
COMBO_2,market_ret5 > 4% + label:volatility_context_VOLATILITY_MỞ_RỘNG,50,25,14,11,50.0,28.0,1.138,2.932,-5.386,2
COMBO_2,volume_ratio 1.2-2.0x + market_ret20 < -5%,87,53,24,10,60.92,27.59,1.894,3.412,-3.787,2
COMBO_2,drawdown20 < -15% + label:entry_context_ENTRY_GẦN_MA20,70,39,19,12,55.71,27.14,-0.098,1.284,-4.073,2
COMBO_2,market_ret20 < -5% + label:score_bucket_70-79,185,96,50,39,51.89,27.03,0.846,2.006,-3.664,2
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_GẦN_MA20,324,167,84,73,51.54,25.93,0.801,2.126,-3.043,2
COMBO_2,volatility_contraction20 > 1.3 + market_ret20 < -5%,271,144,70,57,53.14,25.83,1.703,2.66,-3.445,2
COMBO_2,market_ret20 < -5% + label:volatility_context_VOLATILITY_MỞ_RỘNG,271,144,70,57,53.14,25.83,1.703,2.66,-3.445,2
COMBO_2,range20 <= 10% + market_ret20 < -5%,47,22,12,13,46.81,25.53,1.465,1.674,-2.328,2
COMBO_2,stock_ret20 > 15% + label:market_regime_YẾU,57,32,14,11,56.14,24.56,1.91,4.572,-4.597,2
COMBO_2,stock_dist_ma20 > 8% + label:market_regime_YẾU,50,28,12,10,56.0,24.0,1.311,3.745,-4.212,2
COMBO_2,market_ret20 < -5% + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,102,61,20,21,59.8,19.61,0.97,2.391,-2.93,2
COMBO_2,market_ret20 < -5% + drawdown20 < -15%,73,46,14,13,63.01,19.18,1.375,2.622,-3.08,2
COMBO_2,market_ret20 < -5% + label:risk_context_DRAWDOWN_SÂU,73,46,14,13,63.01,19.18,1.375,2.622,-3.08,2
COMBO_2,market_ret20 < -5% + label:market_regime_YẾU,196,136,31,29,69.39,15.82,2.055,4.317,-2.781,2
COMBO_3,stock_dist_ma20 < -3% + market_ret5 > 4% + market_context fomo/hưng phấn,30,6,22,2,20.0,73.33,-2.216,-2.949,-7.15,3
COMBO_3,stock_dist_ma20 < -3% + market_ret5 > 4% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,30,6,22,2,20.0,73.33,-2.216,-2.949,-7.15,3
COMBO_3,market_ret5 > 4% + market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,30,6,22,2,20.0,73.33,-2.216,-2.949,-7.15,3
COMBO_3,stock_dist_ma20 < -3% + market_ret5 > 4% + label:structure_context_KHÔNG_RÕ_NỀN,32,8,23,1,25.0,71.88,-2.562,-3.138,-7.377,3
COMBO_3,market_context fomo/hưng phấn + drawdown20 -10% to 0% + label:market_regime_BÌNH_THƯỜNG,32,7,23,2,21.88,71.88,-1.716,-1.913,-4.665,3
COMBO_3,stock_dist_ma20 > 8% + market_context risk-off + label:market_regime_RẤT_YẾU,42,10,30,2,23.81,71.43,0.293,-2.646,-8.299,3
COMBO_3,volume_ratio < 1x + volatility_contraction20 < 0.8 + market_context fomo/hưng phấn,41,9,29,3,21.95,70.73,-1.765,-2.361,-5.544,3
COMBO_3,volume_ratio < 1x + volatility_contraction20 < 0.8 + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,41,9,29,3,21.95,70.73,-1.765,-2.361,-5.544,3
COMBO_3,volume_ratio < 1x + market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,41,9,29,3,21.95,70.73,-1.765,-2.361,-5.544,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:score_bucket_80+,41,11,29,1,26.83,70.73,-1.29,-2.292,-5.765,3
COMBO_3,stock_dist_ma20 < -3% + market_ret5 > 4% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,8,24,2,23.53,70.59,-2.56,-3.037,-7.283,3
COMBO_3,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + label:score_bucket_70-79,61,11,43,7,18.03,70.49,-2.709,-3.78,-6.767,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + drawdown20 -10% to 0%,48,12,33,3,25.0,68.75,-1.552,-2.032,-5.441,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:risk_context_PULLBACK_LÀNH_MẠNH,48,12,33,3,25.0,68.75,-1.552,-2.032,-5.441,3
COMBO_3,volatility_contraction20 < 0.8 + drawdown20 -10% to 0% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,48,12,33,3,25.0,68.75,-1.552,-2.032,-5.441,3
COMBO_3,market_context fomo/hưng phấn + drawdown20 -10% to 0% + label:volatility_context_VOLATILITY_CO_HẸP,48,12,33,3,25.0,68.75,-1.552,-2.032,-5.441,3
COMBO_3,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:structure_context_KHÔNG_RÕ_NỀN,32,9,22,1,28.12,68.75,-2.222,-2.32,-7.287,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:entry_context_ENTRY_GẦN_MA20,38,10,26,2,26.32,68.42,-1.02,-1.861,-4.676,3
COMBO_3,stock_ret20 > 15% + market_context risk-off + label:market_regime_RẤT_YẾU,41,12,28,1,29.27,68.29,-0.032,-3.811,-9.581,3
COMBO_3,stock_dist_ma20 > 8% + volatility_contraction20 > 1.3 + label:market_regime_RẤT_YẾU,34,10,23,1,29.41,67.65,0.946,-2.376,-8.333,3
COMBO_3,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,9,23,2,26.47,67.65,-2.24,-2.267,-7.199,3
COMBO_3,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,34,9,23,2,26.47,67.65,-2.24,-2.267,-7.199,3
COMBO_3,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:entry_context_ENTRY_GẦN_MA20,40,9,27,4,22.5,67.5,-1.45,-1.92,-5.396,3
COMBO_3,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + drawdown20 < -15%,55,8,37,10,14.55,67.27,-2.158,-2.812,-5.801,3
COMBO_3,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + label:risk_context_DRAWDOWN_SÂU,55,8,37,10,14.55,67.27,-2.158,-2.812,-5.801,3
COMBO_3,stock_dist_ma20 < -3% + drawdown20 < -15% + label:volatility_context_VOLATILITY_CO_HẸP,55,8,37,10,14.55,67.27,-2.158,-2.812,-5.801,3
COMBO_3,volatility_contraction20 < 0.8 + drawdown20 < -15% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,55,8,37,10,14.55,67.27,-2.158,-2.812,-5.801,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,66,19,44,3,28.79,66.67,-1.722,-2.028,-5.799,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,66,19,44,3,28.79,66.67,-1.722,-2.028,-5.799,3
COMBO_3,stock_dist_ma20 < -3% + drawdown20 < -15% + label:market_regime_TĂNG_MẠNH,45,8,30,7,17.78,66.67,-2.708,-3.132,-7.371,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:structure_context_KHÔNG_RÕ_NỀN,45,14,30,1,31.11,66.67,-2.251,-1.935,-6.619,3
COMBO_3,stock_ret20 > 15% + drawdown20 -10% to 0% + label:market_regime_RẤT_YẾU,30,9,20,1,30.0,66.67,0.414,-3.066,-8.527,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:extension_context_KHÔNG_QUÁ_NÓNG,56,16,37,3,28.57,66.07,-1.321,-1.745,-5.218,3
COMBO_3,volume_ratio < 1x + volatility_contraction20 < 0.8 + market_ret5 > 4%,41,8,27,6,19.51,65.85,-2.104,-2.229,-5.744,3
COMBO_3,volume_ratio < 1x + market_ret5 > 4% + label:volatility_context_VOLATILITY_CO_HẸP,41,8,27,6,19.51,65.85,-2.104,-2.229,-5.744,3
COMBO_3,stock_dist_ma20 < -3% + volume_ratio < 1x + label:market_regime_TĂNG_MẠNH,152,30,100,22,19.74,65.79,-1.685,-2.577,-6.02,3
COMBO_3,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:volume_context_VOLUME_TRUNG_TÍNH,32,11,21,0,34.38,65.62,-1.75,-1.913,-6.557,3
COMBO_3,stock_dist_ma20 3-8% + volatility_contraction20 < 0.8 + label:volume_context_VOLUME_TĂNG_VỪA,46,10,30,6,21.74,65.22,-1.418,-2.1,-5.361,3
