symbol,signal_date,entry_date,signal,family,variant,quality_score,regime,regime_score,close_signal_day,entry_price,raw_entry_open,volume_ratio,rs20,ret5,ret20,rsi14,dist_ma20_pct,drawdown20_pct,atr_pct,min_exit_hold_bars,core_reasons,quality_reasons,ret_t1_pct,ret_t2_pct,ret_t3_pct,ret_t5_pct,ret_t10_pct,max_favorable_t5_pct,max_drawdown_t5_pct,sellable_date_tplus,ret_sellable_tplus_pct,result_t5
STB,2025-01-23,2025-01-24,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,74.484,TĂNG MẠNH,80.0,37.0,37.356,37.3,1.188,3.2,4.372,2.069,59.184,1.907,-2.246,1.824,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.91% | Volume vừa đủ, không FOMO: 1.19x | RS20 mạnh: 3.20 | Không tăng nóng: ret5=4.37%, ret20=2.07% | Drawdown 20 phiên không quá sâu: -2.25%",-2.457,-0.45,-0.584,-0.048,2.093,1.392,-3.127,2025-02-05,-0.584,FLAT
FCN,2025-02-03,2025-02-04,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,65.539,BÌNH THƯỜNG,55.0,14.44,14.552,14.53,1.139,3.138,-1.969,1.404,65.806,0.891,-5.744,3.477,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 0.89% | Volume vừa đủ, không FOMO: 1.14x | RS20 mạnh: 3.14 | Không tăng nóng: ret5=-1.97%, ret20=1.40% | Drawdown 20 phiên không quá sâu: -5.74%",2.23,-1.068,-0.725,-1.412,-0.106,2.618,-3.13,2025-02-07,-0.725,FAIL
HBC,2025-02-04,2025-02-05,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,84.132,BÌNH THƯỜNG,55.0,6.6,6.61,6.6,1.218,10.577,6.452,10.0,50.0,1.538,-9.589,6.169,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.54% | Volume vừa đủ, không FOMO: 1.22x | RS20 mạnh: 10.58 | Không tăng nóng: ret5=6.45%, ret20=10.00% | Drawdown 20 phiên không quá sâu: -9.59%",-0.45,-0.45,-3.476,1.063,14.679,3.789,-4.988,2025-02-10,-3.476,WIN
BID,2025-02-06,2025-02-07,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.907,TĂNG MẠNH,75.0,39.36,39.419,39.36,1.255,4.043,-0.253,4.182,60.299,0.657,-1.723,1.437,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.66% | Volume vừa đủ, không FOMO: 1.26x | RS20 mạnh: 4.04 | Không tăng nóng: ret5=-0.25%, ret20=4.18% | Drawdown 20 phiên không quá sâu: -1.72%",0.945,1.174,0.058,1.681,2.315,2.776,-0.45,2025-02-12,0.058,WIN
ELC,2025-02-20,2025-02-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,73.339,TĂNG MẠNH,100.0,24.31,25.017,24.98,1.511,7.593,-3.989,11.667,59.091,1.239,-5.076,2.997,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.24% | Volume vừa đủ, không FOMO: 1.51x | RS20 mạnh: 7.59 | Không tăng nóng: ret5=-3.99%, ret20=11.67% | Drawdown 20 phiên không quá sâu: -5.08%",-0.65,0.709,0.709,-0.45,3.747,2.128,-3.128,2025-02-26,0.709,FLAT
POW,2025-02-28,2025-03-03,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,78.207,TĂNG MẠNH,100.0,10.14,10.195,10.18,1.578,3.326,-0.783,6.513,63.704,1.608,-1.934,2.127,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.61% | Volume vừa đủ, không FOMO: 1.58x | RS20 mạnh: 3.33 | Không tăng nóng: ret5=-0.78%, ret20=6.51% | Drawdown 20 phiên không quá sâu: -1.93%",-1.627,-3.294,-2.117,-2.51,-2.117,1.31,-3.294,2025-03-06,-2.117,FAIL
OIL,2025-02-28,2025-03-03,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,67.23,TĂNG MẠNH,100.0,13.19,13.21,13.19,1.131,5.822,0.0,9.008,72.477,1.869,-2.151,2.28,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.87% | Volume vừa đủ, không FOMO: 1.13x | RS20 mạnh: 5.82 | Không tăng nóng: ret5=0.00%, ret20=9.01% | Drawdown 20 phiên không quá sâu: -2.15%",0.307,-0.45,-2.721,-3.478,-3.478,0.689,-4.916,2025-03-06,-2.721,FAIL
EVF,2025-03-06,2025-03-07,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,72.297,TĂNG MẠNH,100.0,10.8,10.866,10.85,1.156,9.769,-1.37,13.445,58.73,1.781,-7.692,4.134,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.78% | Volume vừa đủ, không FOMO: 1.16x | RS20 mạnh: 9.77 | Không tăng nóng: ret5=-1.37%, ret20=13.45% | Drawdown 20 phiên không quá sâu: -7.69%",-3.671,-3.211,-3.211,-5.971,-7.812,0.171,-5.971,2025-03-12,-3.211,FAIL
STK,2025-03-12,2025-03-13,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,79.546,TĂNG MẠNH,100.0,18.79,18.858,18.83,1.695,3.411,1.677,8.738,59.111,1.403,-2.693,2.528,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.40% | Volume vừa đủ, không FOMO: 1.69x | RS20 mạnh: 3.41 | Không tăng nóng: ret5=1.68%, ret20=8.74% | Drawdown 20 phiên không quá sâu: -2.69%",-3.207,-5.965,-6.124,-6.283,-5.965,-0.75,-7.396,2025-03-18,-6.124,FAIL
GVR,2025-03-13,2025-03-14,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,69.939,TĂNG MẠNH,100.0,32.54,32.589,32.54,1.106,7.65,-2.924,12.052,55.535,1.394,-3.212,2.518,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.39% | Volume vừa đủ, không FOMO: 1.11x | RS20 mạnh: 7.65 | Không tăng nóng: ret5=-2.92%, ret20=12.05% | Drawdown 20 phiên không quá sâu: -3.21%",-0.296,0.747,4.982,4.214,4.982,6.339,-0.91,2025-03-19,4.982,WIN
BAF,2025-03-14,2025-03-17,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,73.72,TĂNG MẠNH,100.0,33.2,33.3,33.25,1.328,9.775,-4.185,13.699,58.333,1.755,-4.46,2.775,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.75% | Volume vừa đủ, không FOMO: 1.33x | RS20 mạnh: 9.77 | Không tăng nóng: ret5=-4.18%, ret20=13.70% | Drawdown 20 phiên không quá sâu: -4.46%",-0.149,-1.05,-1.201,-1.201,-4.804,0.902,-3.002,2025-03-20,-1.201,FAIL
SCR,2025-03-14,2025-03-17,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,72.122,TĂNG MẠNH,100.0,6.45,6.46,6.45,1.24,9.234,0.781,13.158,58.462,1.92,-4.586,3.123,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.92% | Volume vừa đủ, không FOMO: 1.24x | RS20 mạnh: 9.23 | Không tăng nóng: ret5=0.78%, ret20=13.16% | Drawdown 20 phiên không quá sâu: -4.59%",0.169,0.634,2.646,6.517,4.04,6.371,-0.914,2025-03-20,2.646,WIN
DBC,2025-03-24,2025-03-25,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.006,TĂNG MẠNH,80.0,26.07,26.369,26.33,1.192,3.657,2.035,5.632,46.011,0.614,-4.61,2.543,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.61% | Volume vừa đủ, không FOMO: 1.19x | RS20 mạnh: 3.66 | Không tăng nóng: ret5=2.04%, ret20=5.63% | Drawdown 20 phiên không quá sâu: -4.61%",-3.408,-2.763,-2.08,-2.573,-27.982,-0.105,-4.242,2025-03-28,-2.08,FAIL
NTP,2025-03-28,2025-03-31,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,80.116,BÌNH THƯỜNG,45.0,54.5,54.582,54.5,1.699,3.861,0.739,4.788,51.939,1.408,-3.283,3.476,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.41% | Volume vừa đủ, không FOMO: 1.70x | RS20 mạnh: 3.86 | Không tăng nóng: ret5=0.74%, ret20=4.79% | Drawdown 20 phiên không quá sâu: -3.28%",-1.769,-0.889,-10.765,-20.768,-8.255,-0.457,-20.768,2025-04-03,-10.765,FAIL
PET,2025-06-10,2025-06-11,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,83.358,BÌNH THƯỜNG,45.0,23.74,23.976,23.94,1.763,6.294,1.021,8.056,58.104,1.533,-8.02,4.417,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.53% | Volume vừa đủ, không FOMO: 1.76x | RS20 mạnh: 6.29 | Không tăng nóng: ret5=1.02%, ret20=8.06% | Drawdown 20 phiên không quá sâu: -8.02%",-3.328,-4.746,-2.493,-1.701,-3.536,1.502,-6.414,2025-06-16,-2.493,FAIL
TNG,2025-06-12,2025-06-13,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,67.537,BÌNH THƯỜNG,55.0,16.83,16.855,16.83,1.154,5.504,-3.109,6.25,65.465,1.532,-6.552,3.811,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.53% | Volume vừa đủ, không FOMO: 1.15x | RS20 mạnh: 5.50 | Không tăng nóng: ret5=-3.11%, ret20=6.25% | Drawdown 20 phiên không quá sâu: -6.55%",-0.45,1.152,-0.984,1.686,10.289,2.988,-3.654,2025-06-18,-0.984,WIN
TCB,2025-06-13,2025-06-16,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.769,BÌNH THƯỜNG,55.0,30.39,30.245,30.2,1.362,4.842,2.947,5.925,57.707,1.958,-2.22,2.261,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.96% | Volume vừa đủ, không FOMO: 1.36x | RS20 mạnh: 4.84 | Không tăng nóng: ret5=2.95%, ret20=5.93% | Drawdown 20 phiên không quá sâu: -2.22%",4.047,5.336,9.205,8.576,9.866,11.649,-0.615,2025-06-19,9.205,WIN
NTP,2025-06-13,2025-06-16,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.164,BÌNH THƯỜNG,55.0,61.02,61.112,61.02,1.356,3.906,1.211,4.99,46.572,1.582,-4.387,2.764,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.58% | Volume vừa đủ, không FOMO: 1.36x | RS20 mạnh: 3.91 | Không tăng nóng: ret5=1.21%, ret20=4.99% | Drawdown 20 phiên không quá sâu: -4.39%",7.699,5.687,6.227,1.563,4.443,7.792,-0.45,2025-06-19,6.227,WIN
GVR,2025-06-18,2025-06-19,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.678,TĂNG MẠNH,90.0,28.59,28.633,28.59,1.106,4.406,4.496,6.204,47.525,1.639,-4.605,3.165,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.64% | Volume vừa đủ, không FOMO: 1.11x | RS20 mạnh: 4.41 | Không tăng nóng: ret5=4.50%, ret20=6.20% | Drawdown 20 phiên không quá sâu: -4.60%",0.249,2.309,1.785,4.719,1.611,7.353,-2.336,2025-06-24,1.785,WIN
TNG,2025-06-20,2025-06-23,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,88.84,TĂNG MẠNH,90.0,17.19,17.216,17.19,1.712,10.438,3.243,13.092,51.515,0.919,-4.553,2.884,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.92% | Volume vừa đủ, không FOMO: 1.71x | RS20 mạnh: 10.44 | Không tăng nóng: ret5=3.24%, ret20=13.09% | Drawdown 20 phiên không quá sâu: -4.55%",5.882,6.404,6.927,8.496,10.587,10.809,-2.018,2025-06-26,6.927,WIN
CRE,2025-06-24,2025-06-25,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,66.563,TĂNG MẠNH,100.0,8.44,8.523,8.51,1.216,4.285,-0.354,6.297,47.107,1.54,-5.062,3.292,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.54% | Volume vừa đủ, không FOMO: 1.22x | RS20 mạnh: 4.29 | Không tăng nóng: ret5=-0.35%, ret20=6.30% | Drawdown 20 phiên không quá sâu: -5.06%",-2.092,-2.914,-1.623,0.02,4.361,0.893,-8.663,2025-06-30,-1.623,FLAT
REE,2025-06-30,2025-07-01,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,76.339,TĂNG MẠNH,90.0,67.02,67.121,67.02,1.133,4.342,1.193,7.318,58.937,1.292,-3.679,2.381,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.29% | Volume vừa đủ, không FOMO: 1.13x | RS20 mạnh: 4.34 | Không tăng nóng: ret5=1.19%, ret20=7.32% | Drawdown 20 phiên không quá sâu: -3.68%",-3.087,-2.208,-2.655,-1.329,0.28,-0.169,-3.683,2025-07-04,-2.655,FAIL
PVS,2025-06-30,2025-07-01,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,68.057,TĂNG MẠNH,90.0,30.76,29.684,29.64,1.183,5.986,-6.277,8.962,52.223,-1.725,-11.073,4.779,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: -1.73% | Volume vừa đủ, không FOMO: 1.18x | RS20 mạnh: 5.99 | Không tăng nóng: ret5=-6.28%, ret20=8.96% | Drawdown 20 phiên không quá sâu: -11.07%",1.1,0.797,1.1,2.38,3.963,3.326,-6.446,2025-07-04,1.1,WIN
CRE,2025-07-01,2025-07-02,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,80.952,TĂNG MẠNH,90.0,8.52,8.663,8.65,1.573,4.765,0.948,7.035,53.097,0.9,-4.162,2.842,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.90% | Volume vừa đủ, không FOMO: 1.57x | RS20 mạnh: 4.76 | Không tăng nóng: ret5=0.95%, ret20=7.04% | Drawdown 20 phiên không quá sâu: -4.16%",-2.412,0.474,1.166,2.667,4.514,3.29,-2.643,2025-07-07,1.166,WIN
DBC,2025-07-17,2025-07-18,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,78.737,TĂNG MẠNH,100.0,29.55,29.674,29.63,1.683,3.318,1.372,13.523,66.171,1.807,-4.09,3.099,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.81% | Volume vừa đủ, không FOMO: 1.68x | RS20 mạnh: 3.32 | Không tăng nóng: ret5=1.37%, ret20=13.52% | Drawdown 20 phiên không quá sâu: -4.09%",-3.954,-1.157,0.864,4.672,-0.146,6.125,-5.842,2025-07-23,0.864,WIN
TCH,2025-07-31,2025-08-01,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.759,TĂNG MẠNH,90.0,19.69,19.72,19.69,1.244,12.222,-5.154,20.946,50.58,-0.576,-11.466,5.202,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: -0.58% | Volume vừa đủ, không FOMO: 1.24x | RS20 mạnh: 12.22 | Không tăng nóng: ret5=-5.15%, ret20=20.95% | Drawdown 20 phiên không quá sâu: -11.47%",-0.653,-1.92,-1.058,3.1,2.694,3.611,-6.079,2025-08-06,-1.058,WIN
VHM,2025-09-18,2025-09-19,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,74.499,TĂNG MẠNH,80.0,103.5,104.156,104.0,1.335,9.56,-2.266,10.224,46.207,1.104,-3.181,3.264,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.10% | Volume vừa đủ, không FOMO: 1.34x | RS20 mạnh: 9.56 | Không tăng nóng: ret5=-2.27%, ret20=10.22% | Drawdown 20 phiên không quá sâu: -3.18%",-4.77,-5.538,-6.21,-5.25,-4.29,-0.558,-9.475,2025-09-24,-6.21,FAIL
NLG,2025-11-17,2025-11-18,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,76.755,BÌNH THƯỜNG,55.0,37.9,37.957,37.9,1.124,4.325,3.836,5.424,55.187,0.952,-5.604,3.986,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 0.95% | Volume vừa đủ, không FOMO: 1.12x | RS20 mạnh: 4.32 | Không tăng nóng: ret5=3.84%, ret20=5.42% | Drawdown 20 phiên không quá sâu: -5.60%",-4.665,-7.168,-5.587,-8.09,-7.563,-0.486,-8.09,2025-11-21,-5.587,FAIL
DHC,2025-11-20,2025-11-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,86.68,BÌNH THƯỜNG,45.0,34.05,33.951,33.9,2.27,3.879,0.147,2.038,45.0,0.09,-6.456,2.748,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 0.09% | Volume vừa đủ, không FOMO: 2.27x | RS20 mạnh: 3.88 | Không tăng nóng: ret5=0.15%, ret20=2.04% | Drawdown 20 phiên không quá sâu: -6.46%",-3.69,-3.101,-2.07,-1.628,-2.806,-0.603,-4.279,2025-11-26,-2.07,FAIL
BCM,2025-11-21,2025-11-24,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,67.959,BÌNH THƯỜNG,45.0,65.86,65.959,65.86,1.225,3.503,-0.739,1.824,53.834,0.03,-3.318,2.709,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 0.03% | Volume vừa đủ, không FOMO: 1.23x | RS20 mạnh: 3.50 | Không tăng nóng: ret5=-0.74%, ret20=1.82% | Drawdown 20 phiên không quá sâu: -3.32%",-2.678,-1.344,-1.344,-2.542,-1.936,-0.75,-3.436,2025-11-27,-1.344,FAIL
PHP,2025-11-25,2025-11-26,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,96.541,BÌNH THƯỜNG,55.0,35.0,35.253,35.2,2.483,13.02,1.449,11.821,61.765,1.966,-2.778,2.592,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.97% | Volume vừa đủ, không FOMO: 2.48x | RS20 mạnh: 13.02 | Không tăng nóng: ret5=1.45%, ret20=11.82% | Drawdown 20 phiên không quá sâu: -2.78%",-0.733,-0.733,-1.868,-6.407,-8.109,0.669,-6.69,2025-12-01,-1.868,FAIL
GAS,2025-11-27,2025-11-28,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,82.792,TÍCH CỰC,65.0,63.0,63.095,63.0,1.956,4.644,1.449,5.528,50.602,1.621,-1.254,1.984,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.62% | Volume vừa đủ, không FOMO: 1.96x | RS20 mạnh: 4.64 | Không tăng nóng: ret5=1.45%, ret20=5.53% | Drawdown 20 phiên không quá sâu: -1.25%",3.354,4.463,1.928,1.135,-3.144,4.322,-1.242,2025-12-03,1.928,WIN
HAG,2025-12-11,2025-12-12,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,80.099,TĂNG MẠNH,80.0,18.1,18.277,18.25,1.285,5.562,0.277,9.697,55.172,0.57,-5.974,3.749,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.57% | Volume vừa đủ, không FOMO: 1.28x | RS20 mạnh: 5.56 | Không tăng nóng: ret5=0.28%, ret20=9.70% | Drawdown 20 phiên không quá sâu: -5.97%",-7.836,-2.365,-4.553,-1.544,-2.365,-0.476,-7.836,2025-12-17,-4.553,FAIL
HDB,2025-12-16,2025-12-17,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,76.682,BÌNH THƯỜNG,55.0,24.75,24.707,24.67,1.137,4.249,1.894,5.409,48.865,1.01,-3.017,3.025,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.01% | Volume vừa đủ, không FOMO: 1.14x | RS20 mạnh: 4.25 | Không tăng nóng: ret5=1.89%, ret20=5.41% | Drawdown 20 phiên không quá sâu: -3.02%",3.314,4.731,8.981,12.421,19.909,12.728,-1.381,2025-12-22,8.981,WIN
STB,2026-01-08,2026-01-09,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,66.795,TĂNG MẠNH,100.0,53.5,53.68,53.6,1.173,3.992,-10.833,10.196,62.55,0.92,-12.007,5.007,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.92% | Volume vừa đủ, không FOMO: 1.17x | RS20 mạnh: 3.99 | Không tăng nóng: ret5=-10.83%, ret20=10.20% | Drawdown 20 phiên không quá sâu: -12.01%",-0.077,0.482,0.482,8.492,16.316,12.29,-5.107,2026-01-14,0.482,WIN
PC1,2026-01-30,2026-02-02,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.472,BÌNH THƯỜNG,45.0,24.2,24.987,24.95,1.18,4.821,3.64,7.317,50.641,1.171,-6.383,4.073,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.17% | Volume vừa đủ, không FOMO: 1.18x | RS20 mạnh: 4.82 | Không tăng nóng: ret5=3.64%, ret20=7.32% | Drawdown 20 phiên không quá sâu: -6.38%",2.552,4.353,2.352,-0.25,5.353,9.055,-1.85,2026-02-05,2.352,FLAT
KDC,2026-02-13,2026-02-23,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,69.954,TÍCH CỰC,60.0,52.1,52.078,52.0,1.37,6.508,0.0,3.579,76.923,1.877,-2.068,1.488,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.88% | Volume vừa đủ, không FOMO: 1.37x | RS20 mạnh: 6.51 | Không tăng nóng: ret5=0.00%, ret20=3.58% | Drawdown 20 phiên không quá sâu: -2.07%",-0.066,-0.066,-0.45,-2.562,-4.866,0.402,-2.946,2026-02-26,-0.45,FAIL
KDC,2026-02-23,2026-02-24,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,68.596,TÍCH CỰC,70.0,52.2,52.378,52.3,1.224,6.322,0.578,4.4,77.5,1.854,-1.88,1.485,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.85% | Volume vừa đủ, không FOMO: 1.22x | RS20 mạnh: 6.32 | Không tăng nóng: ret5=0.58%, ret20=4.40% | Drawdown 20 phiên không quá sâu: -1.88%",-0.641,-1.023,-2.359,-3.886,-3.314,-0.177,-4.268,2026-02-27,-2.359,FAIL
MBS,2026-03-03,2026-03-04,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,71.812,BÌNH THƯỜNG,45.0,21.63,21.743,21.71,1.789,3.997,-2.171,3.049,49.024,0.863,-3.909,3.319,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 0.86% | Volume vừa đủ, không FOMO: 1.79x | RS20 mạnh: 4.00 | Không tăng nóng: ret5=-2.17%, ret20=3.05% | Drawdown 20 phiên không quá sâu: -3.91%",5.115,-0.45,-10.43,-5.647,-10.062,10.702,-18.939,2026-03-09,-10.43,FAIL
HCM,2026-03-03,2026-03-04,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,70.085,BÌNH THƯỜNG,45.0,23.9,23.936,23.9,1.598,5.042,-0.83,4.094,52.083,1.834,-3.239,2.705,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.83% | Volume vừa đủ, không FOMO: 1.60x | RS20 mạnh: 5.04 | Không tăng nóng: ret5=-0.83%, ret20=4.09% | Drawdown 20 phiên không quá sâu: -3.24%",2.057,-2.748,-9.432,-5.672,-10.685,6.979,-9.85,2026-03-09,-9.432,FAIL
