symbol,signal_date,entry_date,signal,family,variant,quality_score,regime,regime_score,close_signal_day,entry_price,raw_entry_open,volume_ratio,rs20,ret5,ret20,rsi14,dist_ma20_pct,drawdown20_pct,atr_pct,min_exit_hold_bars,core_reasons,quality_reasons,ret_t1_pct,ret_t2_pct,ret_t3_pct,ret_t5_pct,ret_t10_pct,max_favorable_t5_pct,max_drawdown_t5_pct,sellable_date_tplus,ret_sellable_tplus_pct,result_t5
PHP,2024-07-10,2024-07-11,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,92.543,TĂNG MẠNH,80.0,28.91,29.244,29.2,1.912,12.46,3.176,11.364,47.276,1.135,-7.547,5.663,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.14% | Volume vừa đủ, không FOMO: 1.91x | RS20 mạnh: 12.46 | Không tăng nóng: ret5=3.18%, ret20=11.36% | Drawdown 20 phiên không quá sâu: -7.55%",0.576,-1.134,-4.485,-9.512,-9.204,0.584,-14.23,2024-07-16,-4.485,FAIL
HSG,2024-07-10,2024-07-11,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,79.489,TĂNG MẠNH,80.0,18.88,19.059,19.03,1.672,4.153,1.615,3.057,51.047,1.911,-1.922,3.295,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.91% | Volume vừa đủ, không FOMO: 1.67x | RS20 mạnh: 4.15 | Không tăng nóng: ret5=1.61%, ret20=3.06% | Drawdown 20 phiên không quá sâu: -1.92%",-2.811,-4.175,-5.172,-4.752,-10.839,-0.382,-10.629,2024-07-16,-5.172,FAIL
CSV,2024-08-20,2024-08-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.237,TĂNG MẠNH,75.0,37.89,37.606,37.55,1.267,11.58,-8.345,14.888,53.482,1.863,-14.295,5.814,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.86% | Volume vừa đủ, không FOMO: 1.27x | RS20 mạnh: 11.58 | Không tăng nóng: ret5=-8.35%, ret20=14.89% | Drawdown 20 phiên không quá sâu: -14.30%",2.395,0.853,-1.487,-0.051,0.454,6.749,-1.992,2024-08-26,-1.487,FLAT
BVS,2024-09-13,2024-09-16,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,82.787,BÌNH THƯỜNG,45.0,38.22,38.277,38.22,1.184,10.019,1.272,11.754,54.192,1.806,-3.873,3.086,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.81% | Volume vừa đủ, không FOMO: 1.18x | RS20 mạnh: 10.02 | Không tăng nóng: ret5=1.27%, ret20=11.75% | Drawdown 20 phiên không quá sâu: -3.87%",5.82,4.801,6.552,5.324,8.067,8.76,-3.951,2024-09-19,6.552,WIN
FTS,2024-09-13,2024-09-16,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,82.425,BÌNH THƯỜNG,45.0,39.47,39.619,39.56,1.401,8.27,1.622,10.006,52.744,1.807,-2.639,2.785,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.81% | Volume vừa đủ, không FOMO: 1.40x | RS20 mạnh: 8.27 | Không tăng nóng: ret5=1.62%, ret20=10.01% | Drawdown 20 phiên không quá sâu: -2.64%",0.661,1.115,0.888,0.434,3.841,2.759,-2.494,2024-09-19,0.888,FLAT
DPM,2024-09-16,2024-09-17,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,81.613,BÌNH THƯỜNG,45.0,19.77,19.8,19.77,1.887,3.375,0.713,4.659,50.0,1.025,-2.659,2.171,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.02% | Volume vừa đủ, không FOMO: 1.89x | RS20 mạnh: 3.38 | Không tăng nóng: ret5=0.71%, ret20=4.66% | Drawdown 20 phiên không quá sâu: -2.66%",-0.854,-0.753,-1.005,-0.753,-0.854,0.513,-1.864,2024-09-20,-1.005,FLAT
CTS,2024-09-17,2024-09-18,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.117,BÌNH THƯỜNG,55.0,27.56,27.671,27.63,1.179,3.424,4.079,3.961,52.975,1.617,-2.235,2.623,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.62% | Volume vừa đủ, không FOMO: 1.18x | RS20 mạnh: 3.42 | Không tăng nóng: ret5=4.08%, ret20=3.96% | Drawdown 20 phiên không quá sâu: -2.23%",-0.052,-0.558,0.056,2.08,2.477,4.31,-1.209,2024-09-23,0.056,WIN
TCB,2024-09-18,2024-09-19,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.607,TÍCH CỰC,65.0,22.41,22.634,22.6,1.1,4.803,4.087,5.063,55.743,1.973,-1.495,1.67,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.97% | Volume vừa đủ, không FOMO: 1.10x | RS20 mạnh: 4.80 | Không tăng nóng: ret5=4.09%, ret20=5.06% | Drawdown 20 phiên không quá sâu: -1.49%",1.052,0.213,1.052,3.438,4.499,4.419,-1.731,2024-09-24,1.052,WIN
VRE,2024-09-20,2024-09-23,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,78.897,TÍCH CỰC,70.0,19.5,19.529,19.5,1.262,4.11,1.036,3.175,53.247,0.09,-5.569,2.949,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 0.09% | Volume vừa đủ, không FOMO: 1.26x | RS20 mạnh: 4.11 | Không tăng nóng: ret5=1.04%, ret20=3.17% | Drawdown 20 phiên không quá sâu: -5.57%",-2.754,-2.498,-1.986,-2.498,-6.85,0.274,-3.522,2024-09-26,-1.986,FAIL
HHV,2024-09-30,2024-10-01,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,65.486,TĂNG MẠNH,100.0,11.31,11.377,11.36,1.14,3.257,0.355,3.761,60.256,1.027,-2.835,2.375,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.03% | Volume vừa đủ, không FOMO: 1.14x | RS20 mạnh: 3.26 | Không tăng nóng: ret5=0.35%, ret20=3.76% | Drawdown 20 phiên không quá sâu: -2.84%",-0.45,-2.471,-2.911,-2.911,-1.68,3.733,-3.702,2024-10-04,-2.911,FAIL
