rule_name,conditions,n,failrate_pct,winrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,action,confidence,reason
V202_RULE_003,market_context fomo/hưng phấn + label:score_bucket_60-69,31,74.19,22.58,-2.319,-2.684,-6.602,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_067,stock_dist_ma20 < -3% + market_ret5 > 4% + market_context fomo/hưng phấn,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_068,stock_dist_ma20 < -3% + market_ret5 > 4% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_069,market_ret5 > 4% + market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_004,market_context fomo/hưng phấn + label:market_regime_BÌNH_THƯỜNG,40,72.5,22.5,-1.708,-1.893,-5.025,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_070,stock_dist_ma20 < -3% + market_ret5 > 4% + label:structure_context_KHÔNG_RÕ_NỀN,32,71.88,25.0,-2.562,-3.138,-7.377,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_071,market_context fomo/hưng phấn + drawdown20 -10% to 0% + label:market_regime_BÌNH_THƯỜNG,32,71.88,21.88,-1.716,-1.913,-4.665,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_005,stock_dist_ma20 > 8% + label:market_regime_RẤT_YẾU,42,71.43,23.81,0.293,-2.646,-8.299,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_072,stock_dist_ma20 > 8% + market_context risk-off + label:market_regime_RẤT_YẾU,42,71.43,23.81,0.293,-2.646,-8.299,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_073,volume_ratio < 1x + volatility_contraction20 < 0.8 + market_context fomo/hưng phấn,41,70.73,21.95,-1.765,-2.361,-5.544,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
