pattern,n,fail_rate_pct,avg_ret_t5_pct,warning
BREAKOUT_10D / BÌNH THƯỜNG,128,44.53,-0.624,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_10D / RẤT YẾU,142,55.63,-1.189,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_10D / TÍCH CỰC,80,51.25,-0.858,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_10D / TĂNG MẠNH,528,54.73,-1.006,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_10D / YẾU,53,58.49,-0.562,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_20D / BÌNH THƯỜNG,94,47.87,-0.929,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_20D / RẤT YẾU,91,56.04,-1.324,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_20D / TÍCH CỰC,50,56.0,-1.163,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_20D / TĂNG MẠNH,456,53.51,-0.725,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_20D / YẾU,28,64.29,-1.586,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_5D / BÌNH THƯỜNG,146,46.58,-0.642,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_5D / RẤT YẾU,208,54.33,-1.301,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_5D / TÍCH CỰC,92,48.91,-0.938,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_5D / TĂNG MẠNH,587,54.51,-0.94,Cần giảm score hoặc chặn trong điều kiện này
BREAKOUT_5D / YẾU,59,49.15,0.787,Cần giảm score hoặc chặn trong điều kiện này
PULLBACK_MA10 / BÌNH THƯỜNG,72,51.39,-0.785,Cần giảm score hoặc chặn trong điều kiện này
PULLBACK_MA10 / RẤT YẾU,74,45.95,0.355,Cần giảm score hoặc chặn trong điều kiện này
PULLBACK_MA10 / TÍCH CỰC,34,55.88,-1.507,Cần giảm score hoặc chặn trong điều kiện này
PULLBACK_MA10 / TĂNG MẠNH,175,50.29,-0.349,Cần giảm score hoặc chặn trong điều kiện này
