signal,regime,n,win,fail,flat,winrate_pct,avg_ret_t5_pct,median_ret_t5_pct,avg_drawdown_t5_pct,conclusion
RS20_MOMENTUM,YẾU,123,54,46,23,43.9,1.522,0.262,-4.888,YẾU/CẦN LỌC
RS5_MOMENTUM,BÌNH THƯỜNG,99,43,44,12,43.43,0.202,-0.071,-5.288,YẾU/CẦN LỌC
RS5_MOMENTUM,RẤT YẾU,120,43,62,15,35.83,-1.117,-1.541,-6.182,YẾU/CẦN LỌC
RS5_MOMENTUM,TÍCH CỰC,43,11,25,7,25.58,-1.515,-1.804,-6.657,YẾU/CẦN LỌC
RS5_MOMENTUM,TĂNG MẠNH,248,55,156,37,22.18,-2.236,-2.163,-6.273,YẾU/CẦN LỌC
RS5_MOMENTUM,YẾU,43,18,21,4,41.86,0.452,-0.601,-4.829,YẾU/CẦN LỌC
VOL_FILTER_1.2X,BÌNH THƯỜNG,152,55,71,26,36.18,-0.55,-0.736,-4.698,YẾU/CẦN LỌC
VOL_FILTER_1.2X,RẤT YẾU,186,57,103,26,30.65,-1.717,-2.256,-6.229,YẾU/CẦN LỌC
VOL_FILTER_1.2X,TÍCH CỰC,101,32,52,17,31.68,-0.589,-1.012,-4.313,YẾU/CẦN LỌC
VOL_FILTER_1.2X,TĂNG MẠNH,765,243,403,119,31.76,-0.834,-1.231,-5.143,YẾU/CẦN LỌC
VOL_FILTER_1.2X,YẾU,87,38,31,18,43.68,1.504,0.207,-4.23,YẾU/CẦN LỌC
VOL_FILTER_1.5X,BÌNH THƯỜNG,104,39,48,17,37.5,-0.611,-0.706,-4.666,YẾU/CẦN LỌC
VOL_FILTER_1.5X,RẤT YẾU,140,48,73,19,34.29,-1.604,-1.5,-6.098,YẾU/CẦN LỌC
VOL_FILTER_1.5X,TÍCH CỰC,80,25,40,15,31.25,-0.241,-0.991,-4.36,YẾU/CẦN LỌC
VOL_FILTER_1.5X,TĂNG MẠNH,564,177,289,98,31.38,-0.655,-1.168,-4.989,YẾU/CẦN LỌC
VOL_FILTER_1.5X,YẾU,58,20,31,7,34.48,1.052,-1.242,-5.07,YẾU/CẦN LỌC
VOL_FILTER_2.0X,BÌNH THƯỜNG,65,25,32,8,38.46,-0.433,-0.993,-4.518,YẾU/CẦN LỌC
VOL_FILTER_2.0X,RẤT YẾU,68,26,36,6,38.24,-1.274,-1.282,-6.143,YẾU/CẦN LỌC
VOL_FILTER_2.0X,TÍCH CỰC,51,16,24,11,31.37,-1.121,-0.823,-4.671,YẾU/CẦN LỌC
VOL_FILTER_2.0X,TĂNG MẠNH,332,103,170,59,31.02,-0.634,-1.143,-4.957,YẾU/CẦN LỌC
VOL_FILTER_2.0X,YẾU,27,8,17,2,29.63,-0.787,-2.319,-5.239,YẾU/CẦN LỌC
